暫編地號,原地號,所屬街廓,重劃前區段,a 面積(㎡),街廓面積(㎡),正面長度(m),平均深度(m),A 地價比,l₂ 正面尺度,l₁ 側面尺度,街角地,第1筆街角,街角側別,F(m),W(m),Rw(%),S(m),幾何面積(㎡),G(㎡),累積S(m),推進側別,解法,迭代次數,是否收斂,負擔比率,宗地寬度(m),畸零地旗標
628-42(1),628-42,R2,b,8.34,4368.6,100.03,43.9,1.8386,2.0,1.0,否,否,—,44.95,5.7,0.63,0.11,4.94,4.75,5.71,left,幾何二分法,18,✅,0.4305,0.11,⚠️移出/第1調配順位
628-40(1),628-40,R2,b,513.93,4368.6,100.03,43.9,1.8386,2.0,1.0,否,否,—,44.95,12.25,32.8,6.57,294.99,294.81,12.28,left,幾何二分法,18,✅,0.4264,6.55,
628-30(2),628-30,R2,b,150.3,4368.6,100.03,43.9,1.8386,2.0,1.0,否,否,—,44.95,14.19,7.45,1.94,87.03,87.05,14.22,left,幾何二分法,17,✅,0.4208,1.94,⚠️移出/第1調配順位
628-39(1),628-39,R2,b,395.15,4368.6,100.03,43.9,1.8386,2.0,1.0,否,否,—,44.95,19.35,11.54,5.18,232.19,232.03,19.4,left,幾何二分法,17,✅,0.4128,5.17,
628-31(2),628-31,R2,b,672.66,4368.6,100.03,43.9,1.8386,2.0,1.0,否,否,—,44.95,28.32,0.0,9.0,402.79,402.66,28.4,left,幾何二分法,16,✅,0.4014,8.98,
628-34(1),628-34,R2,b,874.62,4368.6,100.03,43.9,1.8386,2.0,0.0,否,否,—,0.0,0.0,0.0,11.87,523.13,523.24,11.87,right,幾何二分法,16,✅,0.4018,11.84,
628-49(1),628-49,R2,b,109.39,4368.6,100.03,43.9,1.8386,2.0,0.0,否,否,—,0.0,0.0,0.0,1.48,65.32,65.45,13.35,right,幾何二分法,15,✅,0.4017,1.48,⚠️移出/第1調配順位
628-50(1),628-50,R2,b,246.0,4368.6,100.03,43.9,1.8386,2.0,0.0,否,否,—,0.0,0.0,0.0,3.33,147.05,147.18,16.68,right,幾何二分法,14,✅,0.4017,3.32,⚠️移出/第1調配順位
628-51(1),628-51,R2,b,245.0,4368.6,100.03,43.9,1.8386,2.0,0.0,否,否,—,0.0,0.0,0.0,3.32,146.72,146.59,20.0,right,幾何二分法,14,✅,0.4017,3.31,⚠️移出/第1調配順位
628-52(1),628-52,R2,b,119.66,4368.6,100.03,43.9,1.8386,2.0,0.0,否,否,—,0.0,0.0,0.0,1.62,71.63,71.6,21.62,right,幾何二分法,17,✅,0.4016,1.62,⚠️移出/第1調配順位
