情境,街廓,角色,池_B(㎡),池_C(㎡),池差(㎡),MinA,三則
0m,R1,源目標,1175.57,1207.36,31.79,115.39,≥MinA
0m,R2,源目標,1830.27,1783.64,-46.63,153.65,≥MinA
0m,R3,源,1819.16,1864.52,45.36,152.74,≥MinA
0m,R4,目標,1229.86,880.21,-349.65,114.07,≥MinA
0m,R5,源,1767.42,1929.41,161.99,157.64,≥MinA
0m,R6,源,1634.44,1787.51,153.07,156.06,≥MinA
