情境,街廓,暫編地號,角色,G_B(㎡),新形面積(㎡),S_B(m),S_new(m),宗地寬度_new(m),實測寬⊥A(m),Δ面積(㎡)
0m,R1,628-37(1),標的(吞楔形),208.99,208.99,6.5,6.34,6.32,33.48,0.004
0m,R1,628-35(2),前移,602.95,602.95,18.19,18.19,18.13,,0.002
0m,R1,628(5),右側·未動,224.34,224.35,9.83,9.83,9.8,,
0m,R1,628-34(3),右側·未動,87.01,87.02,2.63,2.63,2.62,,
0m,R1,628-36(1),右側·未動,602.35,602.36,18.18,18.18,18.12,,
