情境,街廓,池_v3(㎡),池_F.0(㎡),池差(㎡)
0m,R1,1167.71,1167.71,0.0
0m,R2,1853.93,1884.39,30.46
0m,R3,1717.55,1745.66,28.11
0m,R4,1222.05,1222.05,0.0
0m,R5,1693.09,1695.29,2.2
0m,R6,1743.58,1743.9,0.32
