情境,街廓,池_v3(㎡),池_F.0(㎡),池差(㎡)
3.5m,R1,1167.69,1167.69,0.0
3.5m,R2,1828.92,1859.36,30.44
3.5m,R3,1695.91,1723.95,28.04
3.5m,R4,1222.05,1222.05,0.0
3.5m,R5,1669.95,1671.73,1.78
3.5m,R6,1743.58,1743.9,0.32
