暫編地號,原地號,所屬街廓,重劃前區段,a 面積(㎡),街廓面積(㎡),正面長度(m),平均深度(m),A 地價比,l₂ 正面尺度,l₁ 側面尺度,街角地,第1筆街角,街角側別,F(m),W(m),Rw(%),S(m),幾何面積(㎡),G(㎡),累積S(m),推進側別,解法,迭代次數,是否收斂,負擔比率,宗地寬度(m),畸零地旗標
628-39(1),628-39,R2,b,489.0,4368.6,100.03,43.9,1.923,2.0,1.0,否,否,—,44.95,24.84,0.0,6.4,286.56,286.56,24.9,left,幾何二分法,17,✅,0.414,6.38,
628-31(2),628-31,R2,b,776.91,4368.6,100.03,43.9,1.923,2.0,1.0,否,否,—,44.95,35.0,0.0,10.19,455.24,455.25,35.09,left,幾何二分法,16,✅,0.414,10.16,
628-34(1),628-34,R2,b,1005.65,4368.6,100.03,43.9,1.923,2.0,0.0,否,否,—,0.0,0.0,0.0,13.36,588.95,588.96,13.36,right,幾何二分法,17,✅,0.4143,13.33,
628-49(1),628-49,R2,b,109.39,4368.6,100.03,43.9,1.923,2.0,0.0,否,否,—,0.0,0.0,0.0,1.45,64.07,64.07,14.81,right,幾何二分法,14,✅,0.4143,1.45,⚠️移出/第1調配順位
628-50(1),628-50,R2,b,246.0,4368.6,100.03,43.9,1.923,2.0,0.0,否,否,—,0.0,0.0,0.0,3.26,144.09,144.08,18.07,right,幾何二分法,17,✅,0.4143,3.25,⚠️移出/第1調配順位
628-51(1),628-51,R2,b,245.0,4368.6,100.03,43.9,1.923,2.0,0.0,否,否,—,0.0,0.0,0.0,3.25,143.49,143.5,21.32,right,幾何二分法,16,✅,0.4143,3.24,⚠️移出/第1調配順位
628-52(1),628-52,R2,b,246.0,4368.6,100.03,43.9,1.923,2.0,0.0,否,否,—,0.0,0.0,0.0,3.26,144.09,144.09,24.58,right,幾何二分法,15,✅,0.4143,3.25,⚠️移出/第1調配順位
628-32(2),628-32,R2,b,862.56,4368.6,100.03,43.9,1.923,2.0,0.0,否,否,—,0.0,0.0,0.0,11.4,505.26,505.26,35.98,right,幾何二分法,17,✅,0.4142,11.37,
R2-抵費地,—,R2,—,0.0,4368.6,100.03,43.9,0.0,0.0,0.0,—,—,—,0.0,0.0,0.0,0.0,1288.72,0.0,0.0,抵費地,幾何剩餘,0,🟡,0.0,,
628-34(2),628-34,R3,b,442.5,4206.8,93.41,43.64,1.8218,2.0,0.0,否,否,—,0.0,0.0,0.0,6.07,265.76,265.76,6.07,left,幾何二分法,18,✅,0.3994,6.04,
628-46(1),628-46,R3,b,246.0,4206.8,93.41,43.64,1.8218,2.0,0.0,否,否,—,0.0,0.0,0.0,3.37,147.75,147.75,9.44,left,幾何二分法,18,✅,0.3994,3.36,⚠️移出/第1調配順位
628-48(1),628-48,R3,b,627.61,4206.8,93.41,43.64,1.8218,2.0,0.0,否,否,—,0.0,0.0,0.0,8.59,376.98,376.98,18.03,left,幾何二分法,18,✅,0.3993,8.55,
628-32(3),628-32,R3,b,858.44,4206.8,93.41,43.64,1.8218,2.0,0.0,否,否,—,0.0,0.0,0.0,11.72,515.69,515.68,29.75,left,幾何二分法,16,✅,0.3993,11.67,
628-31(3),628-31,R3,b,792.09,4206.8,93.41,43.64,1.8218,2.0,0.0,否,否,—,0.0,0.0,0.0,10.78,475.89,475.88,40.53,left,幾何二分法,17,✅,0.3992,10.73,
628-45(2),628-45,R3,b,961.26,4206.8,93.41,43.64,1.8218,2.0,1.0,是,是,右側,44.9,12.26,81.05,12.32,545.84,545.84,12.32,right,幾何二分法,16,✅,0.4322,12.27,
628-42(2),628-42,R3,b,761.66,4206.8,93.41,43.64,1.8218,2.0,1.0,否,否,—,44.9,22.31,18.96,10.09,450.36,450.37,22.41,right,幾何二分法,17,✅,0.4087,10.05,
628-29(1),628-29,R3,b,228.0,4206.8,93.41,43.64,1.8218,2.0,1.0,否,否,—,44.9,25.37,0.0,3.08,137.03,137.03,25.49,right,幾何二分法,14,✅,0.399,3.07,⚠️移出/第1調配順位
628-30(3),628-30,R3,b,834.95,4206.8,93.41,43.64,1.8218,2.0,1.0,否,否,—,44.9,36.6,0.0,11.28,501.78,501.78,36.77,right,幾何二分法,15,✅,0.399,11.23,
R3-抵費地-1,—,R3,—,0.0,4206.8,93.41,43.64,0.0,0.0,0.0,—,—,—,0.0,0.0,0.0,0.0,710.88,0.0,0.0,抵費地,幾何剩餘,0,🟡,0.0,,
R3-抵費地-2,—,R3,—,0.0,4206.8,93.41,43.64,0.0,0.0,0.0,—,—,—,0.0,0.0,0.0,0.0,78.19,0.0,0.0,抵費地,幾何剩餘,0,🟡,0.0,,
