情境,街廓,池_D(㎡),池_E引擎(㎡),池_E3整形後(㎡),MinA,三則
0m,R1,878.45,225.08,225.08,115.39,≥MinA
0m,R2,1273.43,750.17,750.17,153.65,≥MinA
0m,R3,772.81,522.21,522.21,152.74,≥MinA
0m,R4,629.69,370.25,370.25,114.07,≥MinA
0m,R5,1690.01,162.76,162.76,157.64,≥MinA
0m,R6,426.87,246.77,246.77,156.06,≥MinA
