情境,街廓,池_D(㎡),池_E引擎(㎡),池_E3整形後(㎡),MinA,三則
3.5m,R1,878.45,202.65,202.65,115.39,≥MinA
3.5m,R2,1248.31,669.06,669.06,153.65,≥MinA
3.5m,R3,750.79,559.4,559.4,152.74,≥MinA
3.5m,R4,629.69,119.42,119.42,114.07,≥MinA
3.5m,R5,1666.05,376.46,376.46,157.64,≥MinA
3.5m,R6,426.87,246.77,246.77,156.06,≥MinA
