暫編地號,原地號,所屬街廓,重劃前區段,a 面積(㎡),街廓面積(㎡),正面長度(m),平均深度(m),A 地價比,l₂ 正面尺度,l₁ 側面尺度,街角地,第1筆街角,街角側別,F(m),W(m),Rw(%),S(m),幾何面積(㎡),G(㎡),累積S(m),推進側別,解法,迭代次數,是否收斂,負擔比率,宗地寬度(m),畸零地旗標
628-21(2),628-21,R5,b,806.84,4150.21,92.8,45.04,1.8023,2.0,1.0,否,否,—,43.53,40.18,0.0,10.83,487.47,487.47,40.35,left,幾何二分法,16,✅,0.3958,10.78,
628-23(2),628-23,R5,b,736.59,4150.21,92.8,45.04,1.8023,2.0,0.0,否,否,—,0.0,0.0,0.0,9.38,445.94,445.94,9.38,right,幾何二分法,17,✅,0.3946,9.34,
628-22(2),628-22,R5,b,891.09,4150.21,92.8,45.04,1.8023,2.0,0.0,否,否,—,0.0,0.0,0.0,11.47,539.27,539.27,20.85,right,幾何二分法,16,✅,0.3948,11.42,
74·G025@R5,74·G025,R5,74avg·R5,806.07,4150.21,92.8,45.04,1.7843,2.0,0.0,否,否,—,0.0,0.0,0.0,10.53,489.78,489.79,31.38,right,幾何二分法,16,✅,0.3924,10.49,
74·G003@R5,74·G003,R5,74avg·R5,1318.25,4150.21,92.8,45.04,1.7843,2.0,0.0,否,否,—,0.0,0.0,0.0,17.46,800.57,800.57,48.84,right,幾何二分法,15,✅,0.3927,17.39,
R5-抵費地-1,—,R5,—,0.0,4150.21,92.8,45.04,0.0,0.0,0.0,—,—,—,0.0,0.0,0.0,0.0,212.79,0.0,0.0,抵費地,幾何剩餘,0,🟡,0.0,,
R5-抵費地-2,—,R5,—,0.0,4150.21,92.8,45.04,0.0,0.0,0.0,—,—,—,0.0,0.0,0.0,0.0,163.66,0.0,0.0,抵費地,幾何剩餘,0,🟡,0.0,,
628-41(1),628-41,R2,b,561.0,4368.6,100.03,43.9,1.9024,2.0,1.0,否,否,—,44.95,14.09,32.28,7.08,317.84,317.84,14.12,left,幾何二分法,18,✅,0.4334,7.06,
628-40(1),628-40,R2,b,628.71,4368.6,100.03,43.9,1.9024,2.0,1.0,否,否,—,44.95,22.23,11.89,8.16,365.71,365.71,22.28,left,幾何二分法,15,✅,0.4183,8.14,
628-39(1),628-39,R2,b,489.0,4368.6,100.03,43.9,1.9024,2.0,1.0,否,否,—,44.95,28.65,0.0,6.44,288.05,288.06,28.72,left,幾何二分法,18,✅,0.4109,6.42,
628-31(2),628-31,R2,b,776.91,4368.6,100.03,43.9,1.9024,2.0,1.0,否,否,—,44.95,38.87,0.0,10.25,457.63,457.62,38.97,left,幾何二分法,15,✅,0.411,10.22,
74·G003@R2,74·G003,R2,74avg·R2,343.18,4368.6,100.03,43.9,1.9024,2.0,1.0,否,否,—,44.95,43.39,0.0,4.53,202.13,202.13,43.5,left,幾何二分法,15,✅,0.411,4.52,
74·G012@R2,74·G012,R2,74avg·R2,267.37,4368.6,100.03,43.9,1.9024,2.0,1.0,否,否,—,44.95,46.92,0.0,3.54,157.48,157.47,47.04,left,幾何二分法,17,✅,0.411,3.53,
