情境,街廓,池_D(㎡),池_E引擎(㎡),池_E3整形後(㎡),MinA,三則
0m,R1,897.43,248.21,248.21,115.39,≥MinA
0m,R2,1207.11,785.22,785.22,153.65,≥MinA
0m,R3,905.71,514.34,514.34,152.74,≥MinA
0m,R4,651.51,394.1,394.1,114.07,≥MinA
0m,R5,1775.76,162.73,162.73,157.64,≥MinA
0m,R6,273.35,273.35,273.35,156.06,≥MinA
