情境,街廓,暫編地號,角色,G_B(㎡),新形面積(㎡),S_B(m),S_new(m),宗地寬度_new(m),實測寬⊥A(m),Δ面積(㎡)
0m,R1,628-37(1),標的(吞楔形),208.72,208.72,6.49,6.33,6.31,33.48,0.003
0m,R1,628-35(2),前移,600.21,600.21,18.1,18.1,18.04,,0.004
0m,R1,628(5),右側·未動,227.72,227.72,7.25,7.25,7.23,,
0m,R1,628-34(3),右側·未動,86.01,86.0,2.6,2.6,2.59,,
0m,R1,628-36(1),右側·未動,596.26,596.26,18.0,18.0,17.94,,
