情境,碎片,街廓,面積(㎡),處置,標的宗
3.5m,R1-抵費地-2,R1,5.33,已整形吞納（域裁(B)：等G重切＋後續宗前移）,628-36(1)
3.5m,R6-抵費地-2,R6,85.71,標記·待 F.4 終態遞補整形（角落失格業主未離場，KL 裁定 2026-07-11）,—
