情境,街廓,暫編地號,角色,G_B(㎡),新形面積(㎡),S_B(m),S_new(m),宗地寬度_new(m),實測寬⊥A(m),Δ面積(㎡)
3.5m,R1,628-36(1),標的(吞楔形),576.44,576.44,17.58,17.42,17.37,34.37,0.003
3.5m,R1,628(5),右側·未動,227.72,227.73,7.25,7.25,7.23,,
3.5m,R1,628-34(3),右側·未動,86.01,86.0,2.6,2.6,2.59,,
3.5m,R1,628-37(1),右側·未動,216.35,216.35,6.53,6.53,6.51,,
3.5m,R1,628-35(2),右側·未動,612.64,612.64,18.49,18.49,18.43,,
