情境,街廓,角色,池_B(㎡),池_C(㎡),池差(㎡),MinA,三則
0m,R1,源目標,1159.06,1191.15,32.09,115.39,≥MinA
0m,R2,源目標,1870.77,1839.81,-30.96,153.65,≥MinA
0m,R3,源目標,1733.2,1765.45,32.25,152.74,≥MinA
0m,R4,目標,1212.96,860.46,-352.5,114.07,≥MinA
0m,R5,源,1682.84,1849.51,166.67,157.64,≥MinA
0m,R6,源,1731.1,1879.68,148.58,156.06,≥MinA
