情境,街廓,角色,池_B(㎡),池_C(㎡),池差(㎡),MinA,三則
3.5m,R1,源目標,1159.09,1190.78,31.69,115.39,≥MinA
3.5m,R2,源目標,1846.2,1814.79,-31.41,153.65,≥MinA
3.5m,R3,源目標,1711.09,1743.34,32.25,152.74,≥MinA
3.5m,R4,目標,1212.96,860.46,-352.5,114.07,≥MinA
3.5m,R5,源,1658.36,1825.64,167.28,157.64,≥MinA
3.5m,R6,源,1731.1,1879.68,148.58,156.06,≥MinA
