情境,街廓,池_D(㎡),池_E引擎(㎡),池_E3整形後(㎡),MinA,三則
0m,R1,888.82,229.4,229.4,115.39,≥MinA
0m,R2,1288.72,984.92,984.92,153.65,≥MinA
0m,R3,789.07,520.76,520.76,152.74,≥MinA
0m,R4,641.45,249.13,249.13,114.07,≥MinA
0m,R5,1702.07,162.91,162.91,157.64,≥MinA
0m,R6,447.04,247.09,247.09,156.06,≥MinA
