情境,街廓,角色,池_B(㎡),池_C(㎡),池差(㎡),MinA,三則
3.5m,R1,源目標,1167.69,1199.32,31.63,115.39,≥MinA
3.5m,R2,源目標,1859.36,1827.95,-31.41,153.65,≥MinA
3.5m,R3,源目標,1723.95,1755.83,31.88,152.74,≥MinA
3.5m,R4,目標,1222.05,871.1,-350.95,114.07,≥MinA
3.5m,R5,源,1671.73,1837.86,166.13,157.64,≥MinA
3.5m,R6,源,1743.9,1891.58,147.68,156.06,≥MinA
