情境,街廓,角色,池_B(㎡),池_C(㎡),池差(㎡),MinA,三則
0m,R1,源目標,1167.71,1199.8,32.09,115.39,≥MinA
0m,R2,源目標,1884.39,1852.98,-31.41,153.65,≥MinA
0m,R3,源目標,1745.66,1777.5,31.84,152.74,≥MinA
0m,R4,目標,1222.05,871.1,-350.95,114.07,≥MinA
0m,R5,源,1695.29,1860.66,165.37,157.64,≥MinA
0m,R6,源,1743.9,1891.58,147.68,156.06,≥MinA
