暫編地號,原地號,所屬街廓,重劃前區段,a 面積(㎡),街廓面積(㎡),正面長度(m),平均深度(m),A 地價比,l₂ 正面尺度,l₁ 側面尺度,街角地,第1筆街角,街角側別,F(m),W(m),Rw(%),S(m),幾何面積(㎡),G(㎡),累積S(m),推進側別,解法,迭代次數,是否收斂,負擔比率,宗地寬度(m),畸零地旗標
628-42(1),628-42,R2,b,8.34,4368.6,100.03,43.9,1.923,2.0,1.0,否,否,—,44.95,7.13,0.56,0.1,4.67,4.67,7.14,left,幾何二分法,18,✅,0.44,0.1,⚠️移出/第1調配順位
628-41(1),628-41,R2,b,319.3,4368.6,100.03,43.9,1.923,2.0,1.0,否,否,—,44.95,11.11,19.79,3.99,179.36,179.36,11.13,left,幾何二分法,17,✅,0.4383,3.98,
628-40(1),628-40,R2,b,513.93,4368.6,100.03,43.9,1.923,2.0,1.0,否,否,—,44.95,17.61,22.81,6.52,292.23,292.23,17.65,left,幾何二分法,18,✅,0.4314,6.5,
628-30(2),628-30,R2,b,150.3,4368.6,100.03,43.9,1.923,2.0,1.0,否,否,—,44.95,19.56,1.01,1.96,87.69,87.68,19.61,left,幾何二分法,16,✅,0.4166,1.96,⚠️移出/第1調配順位
628-39(1),628-39,R2,b,395.15,4368.6,100.03,43.9,1.923,2.0,1.0,否,否,—,44.95,24.72,0.0,5.17,231.56,231.56,24.78,left,幾何二分法,16,✅,0.414,5.16,
628-31(2),628-31,R2,b,654.32,4368.6,100.03,43.9,1.923,2.0,1.0,否,否,—,44.95,33.28,0.0,8.58,383.42,383.41,33.36,left,幾何二分法,18,✅,0.414,8.56,
628-34(1),628-34,R2,b,874.62,4368.6,100.03,43.9,1.923,2.0,0.0,否,否,—,0.0,0.0,0.0,11.62,512.22,512.22,11.62,right,幾何二分法,17,✅,0.4144,11.59,
628-49(1),628-49,R2,b,109.39,4368.6,100.03,43.9,1.923,2.0,0.0,否,否,—,0.0,0.0,0.0,1.45,64.06,64.07,13.07,right,幾何二分法,10,✅,0.4143,1.45,⚠️移出/第1調配順位
628-50(1),628-50,R2,b,246.0,4368.6,100.03,43.9,1.923,2.0,0.0,否,否,—,0.0,0.0,0.0,3.26,144.07,144.08,16.33,right,幾何二分法,17,✅,0.4143,3.25,⚠️移出/第1調配順位
628-51(1),628-51,R2,b,245.0,4368.6,100.03,43.9,1.923,2.0,0.0,否,否,—,0.0,0.0,0.0,3.25,143.5,143.5,19.58,right,幾何二分法,14,✅,0.4143,3.24,⚠️移出/第1調配順位
628-52(1),628-52,R2,b,119.66,4368.6,100.03,43.9,1.923,2.0,0.0,否,否,—,0.0,0.0,0.0,1.59,70.09,70.09,21.17,right,幾何二分法,17,✅,0.4143,1.59,⚠️移出/第1調配順位
628-32(2),628-32,R2,b,730.37,4368.6,100.03,43.9,1.923,2.0,0.0,否,否,—,0.0,0.0,0.0,9.66,427.82,427.81,30.83,right,幾何二分法,16,✅,0.4143,9.64,
R2-抵費地-1,—,R2,—,0.0,4368.6,100.03,43.9,0.0,0.0,0.0,—,—,—,0.0,0.0,0.0,0.0,1594.21,0.0,0.0,抵費地,幾何剩餘,0,🟡,0.0,,
R2-抵費地-2,—,R2,—,0.0,4368.6,100.03,43.9,0.0,0.0,0.0,—,—,—,0.0,0.0,0.0,0.0,233.74,0.0,0.0,抵費地,幾何剩餘,0,🟡,0.0,,
628-34(2),628-34,R3,b,429.35,4206.8,93.41,43.64,1.8218,2.0,0.0,否,否,—,0.0,0.0,0.0,5.89,257.86,257.86,5.89,left,幾何二分法,18,✅,0.3994,5.86,
628-46(1),628-46,R3,b,124.85,4206.8,93.41,43.64,1.8218,2.0,0.0,否,否,—,0.0,0.0,0.0,1.71,74.98,74.99,7.6,left,幾何二分法,17,✅,0.3994,1.7,⚠️移出/第1調配順位
628-48(1),628-48,R3,b,627.61,4206.8,93.41,43.64,1.8218,2.0,0.0,否,否,—,0.0,0.0,0.0,8.59,376.97,376.97,16.19,left,幾何二分法,18,✅,0.3994,8.55,
628-32(3),628-32,R3,b,728.27,4206.8,93.41,43.64,1.8218,2.0,0.0,否,否,—,0.0,0.0,0.0,9.95,437.48,437.47,26.14,left,幾何二分法,17,✅,0.3993,9.91,
628-42(2),628-42,R3,b,153.46,4206.8,93.41,43.64,1.8218,2.0,1.0,否,否,—,44.9,9.01,10.39,1.97,88.18,88.17,9.05,right,幾何二分法,17,✅,0.4255,1.96,⚠️移出/第1調配順位
628-45(2),628-45,R3,b,362.38,4206.8,93.41,43.64,1.8218,2.0,1.0,否,否,—,44.9,13.68,20.25,4.69,209.88,209.89,13.74,right,幾何二分法,17,✅,0.4208,4.67,
628-29(1),628-29,R3,b,228.0,4206.8,93.41,43.64,1.8218,2.0,1.0,否,否,—,44.9,16.65,9.76,2.98,133.21,133.22,16.72,right,幾何二分法,17,✅,0.4157,2.97,⚠️移出/第1調配順位
628-30(3),628-30,R3,b,783.29,4206.8,93.41,43.64,1.8218,2.0,1.0,否,否,—,44.9,27.13,3.65,10.53,469.34,469.35,27.25,right,幾何二分法,17,✅,0.4008,10.49,
628-31(3),628-31,R3,b,671.23,4206.8,93.41,43.64,1.8218,2.0,1.0,否,否,—,44.9,36.16,0.0,9.07,403.38,403.39,36.32,right,幾何二分法,17,✅,0.399,9.03,
R3-抵費地-1,—,R3,—,0.0,4206.8,93.41,43.64,0.0,0.0,0.0,—,—,—,0.0,0.0,0.0,0.0,1366.03,0.0,0.0,抵費地,幾何剩餘,0,🟡,0.0,,
R3-抵費地-2,—,R3,—,0.0,4206.8,93.41,43.64,0.0,0.0,0.0,—,—,—,0.0,0.0,0.0,0.0,389.8,0.0,0.0,抵費地,幾何剩餘,0,🟡,0.0,,
