情境,街廓,角色,池_C(㎡),池_D(㎡),池差(㎡),MinA,三則
3.5m,R1,目標,1206.92,897.48,-309.44,115.39,≥MinA
3.5m,R2,目標,1758.94,1182.01,-576.93,153.65,≥MinA
3.5m,R3,目標,1842.31,883.59,-958.72,152.74,≥MinA
3.5m,R4,目標,880.22,651.51,-228.71,114.07,≥MinA
3.5m,R5,目標,1906.25,1751.74,-154.51,157.64,≥MinA
3.5m,R6,目標,1787.7,273.35,-1514.35,156.06,≥MinA
