暫編地號,原地號,所屬街廓,重劃前區段,a 面積(㎡),街廓面積(㎡),正面長度(m),平均深度(m),A 地價比,l₂ 正面尺度,l₁ 側面尺度,街角地,第1筆街角,街角側別,F(m),W(m),Rw(%),S(m),幾何面積(㎡),G(㎡),累積S(m),推進側別,解法,迭代次數,是否收斂,負擔比率,宗地寬度(m),畸零地旗標
628-30(2),628-30,R2,b,150.3,4368.6,100.03,43.9,1.8386,2.0,1.0,否,否,—,44.95,24.6,0.0,2.01,89.96,89.97,24.66,left,幾何二分法,17,✅,0.4014,2.0,⚠️移出/第1調配順位
628-39(1),628-39,R2,b,489.0,4368.6,100.03,43.9,1.8386,2.0,1.0,否,否,—,44.95,31.13,0.0,6.55,292.89,292.71,31.21,left,幾何二分法,14,✅,0.4014,6.53,
628-31(2),628-31,R2,b,795.25,4368.6,100.03,43.9,1.8386,2.0,1.0,否,否,—,44.95,41.77,0.0,10.67,476.22,476.0,41.88,left,幾何二分法,17,✅,0.4014,10.64,
628-34(1),628-34,R2,b,1005.65,4368.6,100.03,43.9,1.8386,2.0,0.0,否,否,—,0.0,0.0,0.0,13.65,601.7,601.64,13.65,right,幾何二分法,16,✅,0.4017,13.62,
628-49(1),628-49,R2,b,109.39,4368.6,100.03,43.9,1.8386,2.0,0.0,否,否,—,0.0,0.0,0.0,1.48,65.35,65.45,15.13,right,幾何二分法,16,✅,0.4017,1.48,⚠️移出/第1調配順位
628-50(1),628-50,R2,b,246.0,4368.6,100.03,43.9,1.8386,2.0,0.0,否,否,—,0.0,0.0,0.0,3.33,147.11,147.18,18.46,right,幾何二分法,14,✅,0.4017,3.32,⚠️移出/第1調配順位
628-51(1),628-51,R2,b,245.0,4368.6,100.03,43.9,1.8386,2.0,0.0,否,否,—,0.0,0.0,0.0,3.32,146.78,146.59,21.78,right,幾何二分法,17,✅,0.4017,3.31,⚠️移出/第1調配順位
628-52(1),628-52,R2,b,246.0,4368.6,100.03,43.9,1.8386,2.0,0.0,否,否,—,0.0,0.0,0.0,3.33,147.33,147.19,25.11,right,幾何二分法,16,✅,0.4017,3.32,⚠️移出/第1調配順位
628-32(2),628-32,R2,b,867.95,4368.6,100.03,43.9,1.8386,2.0,0.0,否,否,—,0.0,0.0,0.0,11.72,519.37,519.37,36.83,right,幾何二分法,12,✅,0.4016,11.69,
R2-抵費地-1,—,R2,—,0.0,4368.6,100.03,43.9,0.0,0.0,0.0,—,—,—,0.0,0.0,0.0,0.0,948.12,0.0,0.0,抵費地,幾何剩餘,0,🟡,0.0,,
R2-抵費地-2,—,R2,—,0.0,4368.6,100.03,43.9,0.0,0.0,0.0,—,—,—,0.0,0.0,0.0,0.0,233.79,0.0,0.0,抵費地,幾何剩餘,0,🟡,0.0,,
628-34(2),628-34,R3,b,442.5,4206.8,93.41,43.64,1.9407,2.0,0.0,否,否,—,0.0,0.0,0.0,5.89,257.76,257.91,5.89,left,幾何二分法,15,✅,0.4172,5.86,
628-46(1),628-46,R3,b,246.0,4206.8,93.41,43.64,1.9407,2.0,0.0,否,否,—,0.0,0.0,0.0,3.27,143.28,143.39,9.16,left,幾何二分法,18,✅,0.4171,3.26,⚠️移出/第1調配順位
628-48(1),628-48,R3,b,627.61,4206.8,93.41,43.64,1.9407,2.0,0.0,否,否,—,0.0,0.0,0.0,8.34,366.02,365.84,17.5,left,幾何二分法,17,✅,0.4171,8.3,
628-32(3),628-32,R3,b,853.05,4206.8,93.41,43.64,1.9407,2.0,0.0,否,否,—,0.0,0.0,0.0,11.3,497.26,497.3,28.8,left,幾何二分法,16,✅,0.417,11.25,
628-31(3),628-31,R3,b,773.75,4206.8,93.41,43.64,1.9407,2.0,0.0,否,否,—,0.0,0.0,0.0,10.22,451.06,451.13,39.02,left,幾何二分法,16,✅,0.417,10.18,
628-42(2),628-42,R3,b,761.66,4206.8,93.41,43.64,1.9407,2.0,1.0,否,否,—,44.9,16.59,40.22,9.59,428.75,428.54,16.67,right,幾何二分法,17,✅,0.4374,9.55,
628-45(2),628-45,R3,b,961.26,4206.8,93.41,43.64,1.9407,2.0,1.0,否,否,—,44.9,29.08,3.83,12.54,558.96,559.17,29.21,right,幾何二分法,13,✅,0.4183,12.49,
628-29(1),628-29,R3,b,228.0,4206.8,93.41,43.64,1.9407,2.0,1.0,否,否,—,44.9,32.06,0.0,2.99,133.0,132.97,32.2,right,幾何二分法,13,✅,0.4168,2.98,⚠️移出/第1調配順位
628-30(3),628-30,R3,b,834.95,4206.8,93.41,43.64,1.9407,2.0,1.0,否,否,—,44.9,42.98,0.0,10.97,487.03,486.92,43.17,right,幾何二分法,14,✅,0.4168,10.92,
R3-抵費地-1,—,R3,—,0.0,4206.8,93.41,43.64,0.0,0.0,0.0,—,—,—,0.0,0.0,0.0,0.0,493.85,0.0,0.0,抵費地,幾何剩餘,0,🟡,0.0,,
R3-抵費地-2,—,R3,—,0.0,4206.8,93.41,43.64,0.0,0.0,0.0,—,—,—,0.0,0.0,0.0,0.0,389.85,0.0,0.0,抵費地,幾何剩餘,0,🟡,0.0,,
