情境,街廓,角色,池_C(㎡),池_D(㎡),池差(㎡),MinA,三則
0m,R1,目標,1207.17,897.43,-309.74,115.39,≥MinA
0m,R2,目標,1783.5,1207.11,-576.39,153.65,≥MinA
0m,R3,目標,1864.05,905.71,-958.34,152.74,≥MinA
0m,R4,目標,880.22,651.51,-228.71,114.07,≥MinA
0m,R5,目標,1929.36,1775.76,-153.6,157.64,≥MinA
0m,R6,目標,1787.7,273.35,-1514.35,156.06,≥MinA
