街廓,演算法,候選來源,候選數,【左】最小面積(㎡),【右】最小面積(㎡),【左】達資格候選,【左】第1宗指配,【左】優先權指數,【右】達資格候選,【右】第1宗指配,【右】優先權指數
R4,V13,🤖 自動 PK,1,116.08,111.02,0,⚠️ 強制抵費地,—,1,G009（628）[628(1)+],0.9929
R6,V13,🤖 自動 PK,8,無此側,146.38,—,無此側,—,1,G005（628-18）[628-18(1)],0.0459
R5,V13,🤖 自動 PK,8,146.5,無此側,2,G005（628-18）[628-18(2)],0.5412,—,無此側,—
R2,V13,🤖 自動 PK,14,152.99,無此側,1,G023（628-41）[628-41(1)],0.9146,—,無此側,—
R3,V13,🤖 自動 PK,10,無此側,153.8,—,無此側,—,1,G007（628-30）[628-30(3)+],0.6031
R1,V13,🤖 自動 PK,5,114.94,110.68,3,G019（628-37）[628-37(1)],0.5718,1,G009（628）[628(5)],0.9919
