情境,碎片,面積(㎡),沿街s,側,遞補標的宗,跳過失格筆,定序註
3.5m,R1-抵費地-2,5.3,0.02,left,628-36(1),,先解失格業主(域裁C)
3.5m,R6-抵費地-2,85.66,0.01,left,628-1(2),628(2),先解失格業主(域裁C)
