街廓,n,k_naive,k*,J(naive),J(k*),ΣRw_L理論@k*(%),ΣRw_R理論@k*(%),ΣRw_L實跑(%),ΣRw_R實跑(%),ΣG(㎡),Σ配地幾何(㎡),池總=幾何剩餘(㎡),角落抵費地L(㎡),角落抵費地R(㎡),中央池(㎡),守恆殘差(㎡),判定,note
R1,5,3,2,64.0659,66.517,100,100,100,100,2307.95,2307.96,585.35,0,0,585.35,-0.25,✅,
R2,15,8,8,19.8608,19.8608,44.18,0,44.18,0,3432.41,3432.44,935.77,309.05,0,626.72,-0.42,✅,
R3,14,7,7,19.7717,19.7717,0,44.04,0,44.03,3304.62,3304.6,901.5,0,308.93,592.57,-0.68,✅,
R4,2,1,1,66.3516,66.3516,100,100,100,100,2567.11,2567.11,640.68,0,0,640.68,-0.07,✅,
R5,12,6,7,20.1678,20.1678,46.33,0,46.34,0,3256.46,3256.49,893.12,300.52,0,592.6,-0.63,✅,
R6,11,6,6,43.3815,43.3815,0,100,0,99.98,3091.54,3091.59,884.37,0,0,884.37,-0.4,✅,
