情境,暫編地號,街廓,面積,沿街s,宗地寬度⊥ALLOC,深度∥ALLOC,臨正街長,法定最小寬,法定最小深,(a)S=0,(b)寬<最小,(c)深<最小,三分類,長寬比,緊湊度,參考_depth×mw,參考_表min_area,參考_街角範圍
0m,R1-抵費地-1,R1,580.34,0.5,17.45,34.66,17.51,3.5,14.0,,,,池主體,2.0,0.71,115.39,49.0,109.79
0m,R1-抵費地-2,R1,5.3,0.02,0.32,29.64,0.0,3.5,14.0,是,是,,碎片,91.8,0.02,115.39,49.0,109.79
0m,R2-抵費地,R2,963.07,0.47,21.58,46.26,21.63,3.5,14.0,,,,池主體,2.1,0.69,153.65,49.0,151.44
0m,R4-抵費地,R4,640.68,0.72,19.33,34.01,19.35,3.5,14.0,,,,池主體,1.8,0.73,114.07,49.0,109.2
0m,R6-抵費地-1,R6,798.71,0.54,17.58,46.41,17.64,3.5,14.0,,,,池主體,2.6,0.63,156.06,49.0,146.38
0m,R6-抵費地-2,R6,85.66,0.01,3.59,47.67,0.0,3.5,14.0,是,,,碎片,13.3,0.11,156.06,49.0,146.38
0m,R5-抵費地,R5,919.62,0.53,20.0,47.36,20.09,3.5,14.0,,,,池主體,2.4,0.66,157.64,49.0,146.93
0m,R3-抵費地-1,R3,847.41,0.46,19.06,46.11,19.14,3.5,14.0,,,,池主體,2.4,0.66,152.74,49.0,152.82
0m,R3-抵費地-2,R3,78.19,0.99,3.44,41.84,0.0,3.5,14.0,是,是,,碎片,12.2,0.13,152.74,49.0,152.82
3.5m,R1-抵費地-1,R1,580.05,0.67,17.45,34.66,17.5,3.5,14.0,,,,池主體,2.0,0.71,115.39,49.0,226.18
3.5m,R1-抵費地-2,R1,5.3,0.02,0.32,29.64,0.0,3.5,14.0,是,是,,碎片,91.8,0.02,115.39,49.0,226.18
3.5m,R2-抵費地-1,R2,702.03,0.5,15.74,45.79,15.78,3.5,14.0,,,,池主體,2.9,0.6,153.65,49.0,309.05
3.5m,R2-抵費地-2,R2,233.74,0.03,6.75,45.32,3.49,3.5,14.0,,,,forced角落鎖定,6.7,0.3,153.65,49.0,309.05
3.5m,R4-抵費地,R4,640.68,0.72,19.33,34.01,19.35,3.5,14.0,,,,池主體,1.8,0.73,114.07,49.0,225.25
3.5m,R6-抵費地-1,R6,798.71,0.54,17.58,46.41,17.64,3.5,14.0,,,,池主體,2.6,0.63,156.06,49.0,299.13
3.5m,R6-抵費地-2,R6,85.66,0.01,3.59,47.67,0.0,3.5,14.0,是,,,碎片,13.3,0.11,156.06,49.0,299.13
3.5m,R5-抵費地-1,R5,680.33,0.56,14.76,47.12,14.82,3.5,14.0,,,,池主體,3.2,0.58,157.64,49.0,300.52
3.5m,R5-抵費地-2,R5,212.79,0.02,6.38,44.02,3.21,3.5,14.0,,,,forced角落鎖定,6.9,0.29,157.64,49.0,300.52
3.5m,R3-抵費地-1,R3,511.7,0.42,11.52,45.41,11.57,3.5,14.0,,,,池主體,3.9,0.51,152.74,49.0,308.93
3.5m,R3-抵費地-2,R3,389.8,0.95,10.49,45.29,3.57,3.5,14.0,,,,forced角落鎖定,4.3,0.44,152.74,49.0,308.93
