街廓,k,J,dev(m),ΣRw_L(%),ΣRw_R(%)
R1,1,66.517,27.22,100,100
R1,2,66.517,24.44,100,100
R1,3,64.0659,41.88,100,92.63
R1,4,59.5482,49.18,100,79.05
R2,1,0.3399,76.74,0.76,0
R2,2,11.8271,66,26.31,0
R2,3,13.3553,64.26,29.71,0
R2,4,19.8608,46.44,44.18,0
R2,5,19.8608,46.42,44.18,0
R2,6,19.8608,41.12,44.18,0
R2,7,19.8608,27.18,44.18,0
R2,8,19.8608,4.04,44.18,0
R2,9,19.8608,21.94,44.18,0
R2,10,19.8608,26.2,44.18,0
R2,11,19.8608,34.94,44.18,0
R2,12,19.8608,43.72,44.18,0
R2,13,19.8608,47.64,44.18,0
R2,14,19.8608,73.48,44.18,0
R2,15,19.8608,77.02,44.18,0
R3,0,19.7717,74.37,0,44.04
R3,1,19.7717,71.79,0,44.04
R3,2,19.7717,56.35,0,44.04
R3,3,19.7717,47.53,0,44.04
R3,4,19.7717,43.05,0,44.04
R3,5,19.7717,34.23,0,44.04
R3,6,19.7717,29.37,0,44.04
R3,7,19.7717,3.55,0,44.04
R3,8,19.7717,19.63,0,44.04
R3,9,19.7717,47.35,0,44.04
R3,10,19.7717,51.37,0,44.04
R3,11,11.4005,63.79,0,25.39
R3,12,7.6404,67.65,0,17.02
R3,13,5.9745,69.23,0,13.31
R4,1,66.3516,41.63,100,100
R5,1,0.1241,70.69,0.29,0
R5,2,13.6062,57.59,31.26,0
R5,3,16.1427,54.39,37.08,0
R5,4,20.1678,39.01,46.33,0
R5,5,20.1678,20.85,46.33,0
R5,6,20.1678,19.89,46.33,0
R5,7,20.1678,7.81,46.33,0
R5,8,20.1678,8.43,46.33,0
R5,9,20.1678,8.61,46.33,0
R5,10,20.1678,38.75,46.33,0
R5,11,20.1678,62.95,46.33,0
R5,12,20.1678,70.79,46.33,0
R6,0,43.3815,71.48,0,100
R6,1,43.3815,71.1,0,100
R6,2,43.3815,63.52,0,100
R6,3,43.3815,59.56,0,100
R6,4,43.3815,20.54,0,100
R6,5,43.3815,11.84,0,100
R6,6,43.3815,0.24,0,100
R6,7,43.3815,20.4,0,100
R6,8,41.2645,39,0,95.12
R6,9,35.8505,46.16,0,82.64
R6,10,35.8331,46.18,0,82.6
