暫編地號,原地號,所屬街廓,重劃前區段,a 面積(㎡),街廓面積(㎡),正面長度(m),平均深度(m),A 地價比,l₂ 正面尺度,l₁ 側面尺度,街角地,第1筆街角,街角側別,F(m),W(m),Rw(%),S(m),幾何面積(㎡),G(㎡),累積S(m),推進側別,解法,迭代次數,是否收斂,負擔比率,宗地寬度(m),畸零地旗標
628-36(1),628-36,R1,,947.97,2893.55,87.31,32.97,1,0,1,是,是,左側,33.25,22.75,100,22.83,750.23,750.23,22.83,left,幾何二分法,16,✅,0.2086,22.76,
628-35(2),628-35,R1,,1039,2893.55,87.31,32.97,1,0,1,否,否,—,33.25,48.57,0,25.91,858.72,858.71,48.74,left,幾何二分法,17,✅,0.1735,25.83,
628(5),628,R1,,382.91,2893.55,87.31,32.97,1,0,1,是,是,右側,33.27,11.78,79.04,11.82,290.17,290.17,11.82,right,幾何二分法,17,✅,0.2422,11.78,
628-34(3),628-34,R1,,152.34,2893.55,87.31,32.97,1,0,1,否,否,—,33.27,15.43,13.59,3.66,121.39,121.39,15.48,right,幾何二分法,12,✅,0.2032,3.65,
628-37(1),628-37,R1,,350.76,2893.55,87.31,32.97,1,0,1,否,否,—,33.27,24.08,7.37,8.68,287.45,287.45,24.16,right,幾何二分法,13,✅,0.1805,8.65,
R1-抵費地-1,—,R1,—,0,2893.55,87.31,32.97,0,0,0,—,—,—,0,0,0,0,580.05,0,0,抵費地,幾何剩餘,0,🟡,0,,
R1-抵費地-2,—,R1,—,0,2893.55,87.31,32.97,0,0,0,—,—,—,0,0,0,0,5.3,0,0,抵費地,幾何剩餘,0,⚠️ < 最小分配,0,,
628-42(1),628-42,R2,,8.34,4368.6,100.03,43.9,1,2,1,否,否,—,44.95,7.16,0.75,0.14,6.28,6.27,7.18,left,幾何二分法,17,✅,0.2482,0.14,⚠️移出/第1調配順位
628-41(1),628-41,R2,,319.3,4368.6,100.03,43.9,1,2,1,否,否,—,44.95,12.53,25.55,5.38,241.65,241.64,12.56,left,幾何二分法,17,✅,0.2432,5.37,
628-27(1),628-27,R2,,51.32,4368.6,100.03,43.9,1,2,1,否,否,—,44.95,13.4,3.4,0.87,39.14,39.14,13.43,left,幾何二分法,18,✅,0.2373,0.87,⚠️移出/第1調配順位
628-40(1),628-40,R2,,513.48,4368.6,100.03,43.9,1,2,1,否,否,—,44.95,22.3,14.48,8.93,400.03,400.02,22.36,left,幾何二分法,17,✅,0.221,8.91,
628-43(1),628-43,R2,,0.45,4368.6,100.03,43.9,1,2,1,否,否,—,44.95,22.31,0,0.01,0.36,0.36,22.37,left,幾何二分法,18,✅,0.2,0.01,⚠️移出/第1調配順位
628-30(2),628-30,R2,,150.3,4368.6,100.03,43.9,1,2,1,否,否,—,44.95,24.96,0,2.66,118.9,118.91,25.03,left,幾何二分法,15,✅,0.2088,2.65,⚠️移出/第1調配順位
628-39(1),628-39,R2,,395.15,4368.6,100.03,43.9,1,2,1,否,否,—,44.95,31.93,0,6.99,312.6,312.6,32.02,left,幾何二分法,18,✅,0.2089,6.97,
628-31(2),628-31,R2,,654.32,4368.6,100.03,43.9,1,2,1,否,否,—,44.95,43.5,0,11.6,517.59,517.58,43.62,left,幾何二分法,17,✅,0.209,11.57,
628-35(1),628-35,R2,,98.54,4368.6,100.03,43.9,1,2,0,否,否,—,0,0,0,1.77,77.9,77.9,1.77,right,幾何二分法,13,✅,0.2095,1.77,⚠️移出/第1調配順位
628-34(1),628-34,R2,,722.28,4368.6,100.03,43.9,1,2,0,否,否,—,0,0,0,12.95,571.05,571.05,14.72,right,幾何二分法,15,✅,0.2094,12.92,
628-49(1),628-49,R2,,109.39,4368.6,100.03,43.9,1,2,0,否,否,—,0,0,0,1.96,86.49,86.49,16.68,right,幾何二分法,17,✅,0.2093,1.96,⚠️移出/第1調配順位
628-50(1),628-50,R2,,246,4368.6,100.03,43.9,1,2,0,否,否,—,0,0,0,4.4,194.51,194.51,21.08,right,幾何二分法,14,✅,0.2093,4.39,
628-51(1),628-51,R2,,245,4368.6,100.03,43.9,1,2,0,否,否,—,0,0,0,4.38,193.73,193.73,25.46,right,幾何二分法,17,✅,0.2093,4.37,
628-52(1),628-52,R2,,119.66,4368.6,100.03,43.9,1,2,0,否,否,—,0,0,0,2.14,94.62,94.62,27.6,right,幾何二分法,15,✅,0.2093,2.13,⚠️移出/第1調配順位
628-32(2),628-32,R2,,730.37,4368.6,100.03,43.9,1,2,0,否,否,—,0,0,0,13.02,577.59,577.59,40.62,right,幾何二分法,17,✅,0.2092,12.99,
R2-抵費地-1,—,R2,—,0,4368.6,100.03,43.9,0,0,0,—,—,—,0,0,0,0,702.03,0,0,抵費地,幾何剩餘,0,🟡,0,,
R2-抵費地-2,—,R2,—,0,4368.6,100.03,43.9,0,0,0,—,—,—,0,0,0,0,233.74,0,0,抵費地,幾何剩餘,0,🟡,0,,
628(1),628,R4,,2428.44,3207.87,98.89,32.59,1,0,1,是,是,左側,33.27,60.53,100,60.6,1973.79,1973.79,60.6,left,幾何二分法,16,✅,0.1872,60.54,
628-1(1),628-1,R4,,757.92,3207.87,98.89,32.59,1,0,1,是,是,右側,33.08,18.91,100,18.93,593.32,593.32,18.93,right,幾何二分法,14,✅,0.2172,18.91,
R4-抵費地,—,R4,—,0,3207.87,98.89,32.59,0,0,0,—,—,—,0,0,0,0,640.68,0,0,抵費地,幾何剩餘,0,🟡,0,,
628(2),628,R6,,11.49,3976.3,85.85,44.59,1,2,0,否,否,—,0,0,0,0.19,9.12,9.11,0.19,left,幾何二分法,17,✅,0.2071,0.19,⚠️移出/第1調配順位
628-1(2),628-1,R6,,227.41,3976.3,85.85,44.59,1,2,0,否,否,—,0,0,0,3.8,180.35,180.34,3.99,left,幾何二分法,17,✅,0.207,3.79,
628-23(1),628-23,R6,,118.41,3976.3,85.85,44.59,1,2,0,否,否,—,0,0,0,1.99,93.9,93.89,5.98,left,幾何二分法,15,✅,0.2071,1.98,⚠️移出/第1調配順位
628-4(1),628-4,R6,,1154,3976.3,85.85,44.59,1,2,0,否,否,—,0,0,0,19.57,914.62,914.62,25.55,left,幾何二分法,13,✅,0.2074,19.51,
628-22(1),628-22,R6,,253.91,3976.3,85.85,44.59,1,2,0,否,否,—,0,0,0,4.36,201.13,201.13,29.91,left,幾何二分法,16,✅,0.2079,4.35,
628-21(1),628-21,R6,,351.16,3976.3,85.85,44.59,1,2,0,否,否,—,0,0,0,6.06,278.1,278.1,35.97,left,幾何二分法,17,✅,0.2081,6.04,
628-18(1),628-18,R6,,551.09,3976.3,85.85,44.59,1,2,1,是,是,右側,43.38,12.65,82.59,12.69,394.26,394.26,12.69,right,幾何二分法,17,✅,0.2846,12.65,
628-53(1),628-53,R6,,0.44,3976.3,85.85,44.59,1,2,1,否,否,—,43.38,12.66,0.03,0.01,0.34,0.33,12.7,right,幾何二分法,17,✅,0.25,0.01,⚠️移出/第1調配順位
628-38(1),628-38,R6,,205.6,3976.3,85.85,44.59,1,2,1,否,否,—,43.38,16.24,12.48,3.59,157.32,157.32,16.29,right,幾何二分法,16,✅,0.2348,3.58,
628-7(1),628-7,R6,,522.97,3976.3,85.85,44.59,1,2,1,否,否,—,43.38,25.54,4.88,9.33,411.46,411.45,25.62,right,幾何二分法,16,✅,0.2132,9.3,
628-20(1),628-20,R6,,570.15,3976.3,85.85,44.59,1,2,1,否,否,—,43.38,35.62,0,10.11,450.99,450.99,35.73,right,幾何二分法,16,✅,0.209,10.08,
R6-抵費地-1,—,R6,—,0,3976.3,85.85,44.59,0,0,0,—,—,—,0,0,0,0,798.71,0,0,抵費地,幾何剩餘,0,🟡,0,,
R6-抵費地-2,—,R6,—,0,3976.3,85.85,44.59,0,0,0,—,—,—,0,0,0,0,85.66,0,0,抵費地,幾何剩餘,0,🟡,0,,
