街廓,k,J,dev(m),ΣRw_L(%),ΣRw_R(%)
R1,1,54.068,56.16,62.56,100
R1,2,66.517,5.26,100,100
R1,3,64.0659,41.86,100,92.63
R1,4,59.5482,49.16,100,79.05
R2,1,24.6299,64.52,54.79,0
R2,2,24.9886,64.24,55.59,0
R2,3,27.079,62.52,60.24,0
R2,4,43.1521,45.14,95.99,0
R2,5,43.1656,45.12,96.02,0
R2,6,44.9548,39.9,100,0
R2,7,44.9548,25.98,100,0
R2,8,44.9548,2.86,100,0
R2,9,44.9548,23.12,100,0
R2,10,44.9548,27.38,100,0
R2,11,44.9548,36.12,100,0
R2,12,44.9548,44.9,100,0
R2,13,44.9548,48.82,100,0
R2,14,44.9548,74.66,100,0
R2,15,44.9548,78.2,100,0
R3,0,44.8987,73.88,0,100
R3,1,44.8987,71.3,0,100
R3,2,44.8987,55.86,0,100
R3,3,44.8987,47.04,0,100
R3,4,44.8987,42.56,0,100
R3,5,44.8987,33.74,0,100
R3,6,44.8987,28.88,0,100
R3,7,44.8987,3.06,0,100
R3,8,44.8987,20.08,0,100
R3,9,38.0902,47.44,0,84.84
R3,10,34.5482,51.3,0,76.95
R3,11,30.5652,55.14,0,68.08
R3,12,28.7872,56.72,0,64.12
R3,13,22.4749,61.86,0,50.06
R4,1,66.3516,41.63,100,100
R5,1,26.5971,56.12,61.1,0
R5,2,26.7103,56.02,61.36,0
R5,3,30.198,52.84,69.37,0
R5,4,42.6137,37.74,97.89,0
R5,5,43.5305,19.52,100,0
R5,6,43.5305,18.56,100,0
R5,7,43.5305,9.14,100,0
R5,8,43.5305,9.76,100,0
R5,9,43.5305,9.94,100,0
R5,10,43.5305,40.08,100,0
R5,11,43.5305,64.28,100,0
R5,12,43.5305,72.12,100,0
R6,0,43.3815,71.48,0,100
R6,1,43.3815,71.1,0,100
R6,2,43.3815,63.52,0,100
R6,3,43.3815,59.56,0,100
R6,4,43.3815,20.54,0,100
R6,5,43.3815,11.84,0,100
R6,6,43.3815,0.24,0,100
R6,7,43.3815,20.4,0,100
R6,8,41.2645,39,0,95.12
R6,9,35.8505,46.16,0,82.64
R6,10,35.8331,46.18,0,82.6
