街廓,分類,正面路寬(m),【左】路寬(m),【右】路寬(m),街廓分配深度(m),法定最小寬(m),法定最小深(m),【左】截角(㎡),【右】截角(㎡),【左】街角最小面積(㎡),【右】街角最小面積(㎡)
R4,住宅區,12,8.0,8.0,32.59,3.5,14,6.86,6.25,225.25,225.67
R6,住宅區,8,—,8.0,44.59,3.5,14,—,5.77,,299.13
R5,住宅區,8,8.0,—,45.04,3.5,14,6.14,—,300.52,
R2,住宅區,8,8.0,—,43.9,3.5,14,6.28,—,309.05,
R3,住宅區,8,—,8.0,43.64,3.5,14,—,6.2,,308.93
R1,住宅區,12,8.0,8.0,32.97,3.5,14,6.71,5.77,226.18,226.88
