街廓,正面路寬(m),正街尺度,正面長度(m),正面面積(㎡),左側路寬(m),左側尺度,左側長度(m),左側面積(㎡),右側路寬(m),右側尺度,右側長度(m),右側面積(㎡)
R4,12,0,98.89378086008792,0,8,1,33.26751638826782,33.27,8,1,33.08408382657787,33.08
R6,8,2,85.85494673315128,171.71,8,0,0,0,8,1,43.381506846466955,43.38
R5,8,2,92.79954729948176,185.6,8,1,43.53048440530459,43.53,8,0,47.9,0
R2,8,2,100.02740448389511,200.05,8,1,44.95483848753917,44.95,8,0,44.94,0
R3,8,2,93.40510957601974,186.81,8,0,0,0,8,1,44.89867096487871,44.9
R1,12,0,87.31303140698174,0,8,1,33.24676853950616,33.25,8,1,33.27018711216929,33.27
