街廓,n,k_naive,k*,J(naive),J(k*),ΣRw_L理論@k*(%),ΣRw_R理論@k*(%),ΣRw_L實跑(%),ΣRw_R實跑(%),ΣG(㎡),Σ配地幾何(㎡),池總=幾何剩餘(㎡),角落抵費地L(㎡),角落抵費地R(㎡),中央池(㎡),守恆殘差(㎡),判定,note,幾何片明細(㎡),片數
R1,5,3,2,60.4219,66.517,100.0,100.0,100.01,99.97,1725.65,1725.66,1167.69,0.0,0.0,1167.69,-0.22,✅,,"[1162.39, 5.3]",2
R2,15,8,8,19.8608,19.8608,44.18,0.0,44.2,0,2539.24,2539.25,1828.92,309.05,0.0,1519.87,-0.44,✅,,"[1595.18, 233.74]",2
R3,14,7,7,19.7717,19.7717,0.0,44.04,0,44.02,2511.09,2511.11,1695.91,0.0,308.93,1386.98,0.2,✅,,"[1306.1, 389.8]",2
R4,2,1,1,63.288,63.288,100.0,90.74,100.0,90.76,1985.76,1985.75,1222.05,0.0,0.0,1222.05,-0.05,✅,,[1222.05],1
R5,12,6,7,20.1678,20.1678,46.33,0.0,46.32,0,2480.79,2480.78,1669.95,300.52,0.0,1369.43,0.52,✅,,"[1457.15, 212.79]",2
R6,11,6,6,43.3815,43.3815,0.0,100.0,0,99.99,2232.43,2232.47,1743.58,0.0,0.0,1743.58,-0.3,✅,,"[1657.92, 85.66]",2
