街廓,n,k_naive,k*,J(naive),J(k*),ΣRw_L理論@k*(%),ΣRw_R理論@k*(%),ΣRw_L實跑(%),ΣRw_R實跑(%),ΣG(㎡),Σ配地幾何(㎡),池總=幾何剩餘(㎡),角落抵費地L(㎡),角落抵費地R(㎡),中央池(㎡),守恆殘差(㎡),判定,note,幾何片明細(㎡),片數
R1,5,3,2,60.3553,66.517,100.0,100.0,99.98,100.01,1718.06,1717.97,1175.57,0.0,0.0,1175.57,0.08,✅,,"[1170.25, 5.33]",2
R2,15,8,8,44.9548,44.9548,100.0,0.0,99.96,0,2569.23,2568.73,1800.32,0.0,0.0,1800.32,0.94,✅,,"[1799.87, 0.45]",2
R3,14,7,7,44.8987,44.8987,0.0,100.0,0,100.0,2414.61,2414.79,1792.01,0.0,0.0,1792.01,-0.18,✅,,"[1713.77, 78.24]",2
R4,2,1,1,63.2301,63.2301,100.0,90.56,100.0,90.57,1977.98,1978.01,1229.86,0.0,0.0,1229.86,-0.03,✅,,[1229.86],1
R5,12,6,7,43.5305,43.5305,100.0,0.0,100.0,0,2384.1,2384.59,1765.63,0.0,0.0,1765.63,-0.48,✅,,[1765.63],1
R6,11,6,6,43.3815,43.3815,0.0,100.0,0,99.99,2341.48,2342.31,1634.43,0.0,0.0,1634.43,-0.39,✅,,"[1548.29, 85.71, 0.44]",3
