情境,原地號,暫編地號,所屬街廓,G(㎡),該側MinA(㎡),跨線併大側→,大側G(㎡)
0m,628-35,628-35(1),R2,57.71,153.65,628-35(2),602.95
0m,628,628(2),R6,7.1,156.06,628(1),1527.02
0m,628,628(3),R5,152.3,157.64,628(1),1527.02
0m,628,628(4),R3,45.98,152.74,628(1),1527.02
0m,628-34,628-34(3),R1,87.01,115.39,628-34(1),423.0
0m,628-42,628-42(1),R2,4.64,153.65,628-42(2),87.7
0m,628-42,628-42(2),R3,87.7,152.74,628-42(2),87.7
0m,628-27,628-27(1),R2,28.61,153.65,628-27(1),28.61
0m,628-27,628-27(2),R3,26.75,152.74,628-27(1),28.61
0m,628-30,628-30(2),R2,85.29,153.65,628-30(3),459.61
0m,628-30,628-30(1),R5,16.22,157.64,628-30(3),459.61
0m,628-31,628-31(1),R5,11.04,157.64,628-31(3),392.39
0m,628-49,628-49(1),R2,64.07,153.65,628-49(2),81.46
0m,628-49,628-49(2),R3,81.46,152.74,628-49(2),81.46
0m,628-32,628-32(1),R5,3.25,157.64,628-32(3),434.24
0m,628-1,628-1(2),R6,140.45,156.06,628-1(1),458.74
0m,628-23,628-23(1),R6,67.74,156.06,628-23(2),436.44
0m,628-22,628-22(1),R6,145.17,156.06,628-22(2),536.19
0m,628-53,628-53(1),R6,0.24,156.06,628-53(2),1.59
0m,628-53,628-53(2),R5,1.59,157.64,628-53(2),1.59
0m,628-45,628-45(1),R5,53.14,157.64,628-45(2),201.36
