街廓,n,k_naive,k*,J(naive),J(k*),ΣRw_L理論@k*(%),ΣRw_R理論@k*(%),ΣRw_L實跑(%),ΣRw_R實跑(%),ΣG(㎡),Σ配地幾何(㎡),池總=幾何剩餘(㎡),角落抵費地L(㎡),角落抵費地R(㎡),中央池(㎡),守恆殘差(㎡),判定,note,幾何片明細(㎡),片數
R1,5,3,1,55.3577,65.3055,96.36,100.0,96.38,100.0,1719.16,1719.17,1174.39,0.0,0.0,1174.39,-0.0,✅,,"[1169.07, 5.33]",2
R2,13,7,6,19.9149,19.9149,44.3,0.0,44.29,0,2563.5,2563.48,1805.11,309.05,0.0,1496.06,0.01,✅,,"[1496.06, 309.05]",2
R3,10,5,5,19.8902,19.8902,0.0,44.3,0,44.3,2409.38,2409.35,1797.44,0.0,308.93,1488.51,0.02,✅,,"[1488.51, 308.93]",2
R4,2,1,1,62.3139,62.3139,100.0,87.8,100.0,87.82,1978.81,1978.81,1229.06,0.0,0.0,1229.06,-0.0,✅,,[1229.06],1
R5,9,5,4,19.2838,19.2838,44.3,0.0,44.3,0,2407.15,2407.12,1743.09,300.52,0.0,1442.57,0.02,✅,,"[1442.57, 300.52]",2
R6,7,4,3,41.9543,43.3815,0.0,100.0,0,100.0,2347.31,2347.32,1628.98,0.0,0.0,1628.98,-0.01,✅,,"[1543.28, 85.71]",2
