街廓,n,k_naive,k*,J(naive),J(k*),ΣRw_L理論@k*(%),ΣRw_R理論@k*(%),ΣRw_L實跑(%),ΣRw_R實跑(%),ΣG(㎡),Σ配地幾何(㎡),池總=幾何剩餘(㎡),角落抵費地L(㎡),角落抵費地R(㎡),中央池(㎡),守恆殘差(㎡),判定,note,幾何片明細(㎡),片數
R1,5,3,2,60.3553,66.517,100.0,100.0,99.98,100.01,1718.06,1717.97,1175.57,0.0,0.0,1175.57,0.08,✅,,"[1170.25, 5.33]",2
R2,13,7,6,44.9548,44.9548,100.0,0.0,99.96,0,2538.52,2538.33,1830.27,0.0,0.0,1830.27,0.19,✅,,[1830.27],1
R3,10,5,5,44.8987,44.8987,0.0,100.0,0,100.0,2387.4,2387.63,1819.16,0.0,0.0,1819.16,-0.24,✅,,"[1740.92, 78.24]",2
R4,2,1,1,63.2301,63.2301,100.0,90.56,100.0,90.57,1977.98,1978.01,1229.86,0.0,0.0,1229.86,-0.03,✅,,[1229.86],1
R5,9,5,4,43.5305,43.5305,100.0,0.0,100.02,0,2382.48,2382.8,1767.42,0.0,0.0,1767.42,-0.31,✅,,[1767.42],1
R6,7,4,3,43.3815,43.3815,0.0,100.0,0,100.01,2341.22,2341.88,1634.44,0.0,0.0,1634.44,-0.65,✅,,"[1548.73, 85.71]",2
