情境,街廓,池_v3(㎡),池_F.0(㎡),池差(㎡)
3.5m,R1,1159.09,1159.09,0.0
3.5m,R2,1815.78,1846.2,30.42
3.5m,R3,1683.49,1711.09,27.6
3.5m,R4,1212.96,1212.96,0.0
3.5m,R5,1656.56,1658.36,1.8
3.5m,R6,1731.05,1731.1,0.05
