暫編地號,原地號,所屬街廓,重劃前區段,a 面積(㎡),街廓面積(㎡),正面長度(m),平均深度(m),A 地價比,l₂ 正面尺度,l₁ 側面尺度,街角地,第1筆街角,街角側別,F(m),W(m),Rw(%),S(m),幾何面積(㎡),G(㎡),累積S(m),推進側別,解法,迭代次數,是否收斂,負擔比率,宗地寬度(m),畸零地旗標,驗_A幾何,驗_A_W,驗_A_D,驗_A_命中角,驗_A_理由,驗_B藍影,驗_B_G,驗_B_藍影面積,驗_B_Δ,驗_B_臨正街,驗_B_臨屁股,驗_C面積,驗_C_G,驗_C_e,驗_C_街角範圍面積,驗_C_門檻,驗_C_Δ,驗_總判,驗_rejected,驗_鏈,驗_宗序,驗_不可判輸入
628-39(1),628-39,R2,b,395.15,4368.6,100.03,44.47,1.8386,2.0,1.0,否,否,—,44.95,25.76,0.0,5.29,236.54,236.54,27.52,left,幾何二分法,17,✅,0.4014,5.28,,合格,3.5,14.0,36.5,容納（命中角度 36.500000°）,不適用,236.54,—,—,—,—,不適用,236.54,0.0,308.1654,—,—,保留,False,left,其後,—
628-31(2),628-31,R2,b,654.32,4368.6,100.03,44.47,1.8386,2.0,1.0,否,否,—,44.95,34.5,0.0,8.77,391.67,391.66,36.29,left,幾何二分法,14,✅,0.4014,8.75,,合格,3.5,14.0,20.5,容納（命中角度 20.500000°）,不適用,391.66,—,—,—,—,不適用,391.66,0.0,308.1654,—,—,保留,False,left,其後,—
628-35(1),628-35,R2,b,98.54,4368.6,100.03,44.47,1.8386,2.0,0.0,否,否,—,0.0,0.0,0.0,1.34,58.95,58.95,1.34,right,幾何二分法,16,✅,0.4018,1.34,⚠️移出/第1調配順位,不合格,3.5,14.0,,掃 365 個角度皆不可容納,不適用,58.95,—,—,—,—,不適用,58.95,0.0,—,—,—,剔除,True,right,其後,—
628-34(1),628-34,R2,b,722.28,4368.6,100.03,44.47,1.8386,2.0,0.0,否,否,—,0.0,0.0,0.0,9.8,432.11,432.11,11.14,right,幾何二分法,16,✅,0.4017,9.78,,合格,3.5,14.0,15.0,容納（命中角度 15.000000°）,不適用,432.11,—,—,—,—,不適用,432.11,0.0,—,—,—,保留,False,right,第2宗,—
628-49(1),628-49,R2,b,109.39,4368.6,100.03,44.47,1.8386,2.0,0.0,否,否,—,0.0,0.0,0.0,1.48,65.45,65.45,12.63,right,幾何二分法,13,✅,0.4017,1.48,⚠️移出/第1調配順位,不合格,3.5,14.0,,掃 363 個角度皆不可容納,不適用,65.45,—,—,—,—,不適用,65.45,0.0,—,—,—,剔除,True,right,其後,—
628-50(1),628-50,R2,b,246.0,4368.6,100.03,44.47,1.8386,2.0,0.0,否,否,—,0.0,0.0,0.0,3.33,147.18,147.18,15.96,right,幾何二分法,15,✅,0.4017,3.32,⚠️移出/第1調配順位,不合格,3.5,14.0,,掃 363 個角度皆不可容納,不適用,147.18,—,—,—,—,不適用,147.18,0.0,—,—,—,剔除,True,right,其後,—
628-51(1),628-51,R2,b,245.0,4368.6,100.03,44.47,1.8386,2.0,0.0,否,否,—,0.0,0.0,0.0,3.32,146.59,146.59,19.28,right,幾何二分法,17,✅,0.4017,3.31,⚠️移出/第1調配順位,不合格,3.5,14.0,,掃 363 個角度皆不可容納,不適用,146.59,—,—,—,—,不適用,146.59,0.0,—,—,—,剔除,True,right,其後,—
628-52(1),628-52,R2,b,119.66,4368.6,100.03,44.47,1.8386,2.0,0.0,否,否,—,0.0,0.0,0.0,1.62,71.59,71.6,20.9,right,幾何二分法,16,✅,0.4016,1.62,⚠️移出/第1調配順位,不合格,3.5,14.0,,掃 363 個角度皆不可容納,不適用,71.6,—,—,—,—,不適用,71.6,0.0,—,—,—,剔除,True,right,其後,—
628-32(2),628-32,R2,b,730.37,4368.6,100.03,44.47,1.8386,2.0,0.0,否,否,—,0.0,0.0,0.0,9.87,437.02,437.02,30.77,right,幾何二分法,17,✅,0.4016,9.85,,合格,3.5,14.0,14.5,容納（命中角度 14.500000°）,不適用,437.02,—,—,—,—,不適用,437.02,0.0,—,—,—,保留,False,right,其後,—
R2-抵費地-1,—,R2,—,0.0,4368.6,100.03,44.47,0.0,0.0,0.0,—,—,—,0.0,0.0,0.0,0.0,1466.26,0.0,0.0,抵費地,幾何剩餘,0,🟡,0.0,,,,,,,,,,,,,,,,,,,,,,,,
