暫編地號,原地號,所屬街廓,重劃前區段,a 面積(㎡),街廓面積(㎡),正面長度(m),平均深度(m),A 地價比,l₂ 正面尺度,l₁ 側面尺度,街角地,第1筆街角,街角側別,F(m),W(m),Rw(%),S(m),幾何面積(㎡),G(㎡),累積S(m),推進側別,解法,迭代次數,是否收斂,負擔比率,宗地寬度(m),畸零地旗標
628-37(1),628-37,R1,a,457.0,2893.55,87.31,32.97,1.7206,0.0,1.0,是,是,左側,33.25,8.43,63.35,8.46,273.92,273.92,8.46,left,幾何二分法,17,✅,0.4006,8.43,
628-35(2),628-35,R1,b,1255.0,2893.55,87.31,32.97,2.0243,0.0,1.0,否,否,—,33.25,30.51,36.66,22.15,734.47,734.47,30.61,left,幾何二分法,17,✅,0.4148,22.08,
74·G015@R1,74·G015,R1,74avg·R1,187.94,2893.55,87.31,32.97,1.8348,0.0,1.0,否,否,—,33.25,34.03,0.0,3.54,117.19,117.18,34.15,left,幾何二分法,15,✅,0.3765,3.53,
628(5),628,R1,a,553.9,2893.55,87.31,32.97,1.7206,0.0,1.0,是,是,右側,33.27,12.97,83.88,13.01,329.83,329.83,13.01,right,幾何二分法,17,✅,0.4045,12.97,
74·G012@R1,74·G012,R1,74avg·R1,236.57,2893.55,87.31,32.97,1.8348,0.0,1.0,否,否,—,33.27,17.28,14.24,4.32,143.19,143.2,17.33,right,幾何二分法,16,✅,0.3947,4.31,
74·G020@R1,74·G020,R1,74avg·R1,222.97,2893.55,87.31,32.97,1.8348,0.0,1.0,否,否,—,33.27,21.45,1.87,4.18,138.46,138.46,21.51,right,幾何二分法,16,✅,0.379,4.17,
74·G018@R1,74·G018,R1,74avg·R1,222.07,2893.55,87.31,32.97,1.8348,0.0,1.0,否,否,—,33.27,25.62,0.0,4.18,138.47,138.46,25.69,right,幾何二分法,14,✅,0.3765,4.17,
74·G031@R1,74·G031,R1,74avg·R1,187.88,2893.55,87.31,32.97,1.8348,0.0,1.0,否,否,—,33.27,29.14,0.0,3.54,117.14,117.15,29.23,right,幾何二分法,15,✅,0.3765,3.53,
628-36(1),628-36,R1,a,1047.0,2893.55,87.31,32.97,1.7206,0.0,1.0,否,否,—,33.27,49.33,0.0,20.26,671.39,671.4,49.49,right,幾何二分法,15,✅,0.3587,20.19,
R1-抵費地-1,—,R1,—,0.0,2893.55,87.31,32.97,0.0,0.0,0.0,—,—,—,0.0,0.0,0.0,0.0,224.11,0.0,0.0,抵費地,幾何剩餘,0,🟡,0.0,,
R1-抵費地-2,—,R1,—,0.0,2893.55,87.31,32.97,0.0,0.0,0.0,—,—,—,0.0,0.0,0.0,0.0,5.3,0.0,0.0,抵費地,幾何剩餘,0,⚠️ < 最小分配,0.0,,
628(1),628,R4,a,3146.51,3207.87,98.89,32.59,1.7206,0.0,1.0,是,是,左側,33.27,60.95,100.0,61.01,1987.48,1987.49,61.01,left,幾何二分法,16,✅,0.3684,60.95,
