情境,歸戶,軌別,梯次,應走,實走鏈,歸因
0m,G001,建地軌,0,級0 集中合併/級0′弱弱聯合,F.2跨併級1 628-34(3)→628-34(1)；F.3併入 628-3(1)→628-34(2)；F.3併入 628-34(4)→628-34(1),✅
0m,G002,建地軌,1,級0 逐宗個別,F.3併入 628-39(2)→628-39(1),✅
0m,G003,公設軌,—,公設軌·達標門檻＝區標準 114.07(手冊(三))；½線測試延至 F.4 以 ,F.3轉7-4；E1 7-4 配地 R5 G=1125.39,✅
0m,G004,建地軌,2,級1-4 增配(雙出口),F.3併入 628-52(2)→628-52(1)；E2 7-5批次 R4 G=134.09,✅
0m,G005,建地軌,1,級0 逐宗個別,F.3併入 628-18(3)→628-18(2),✅
0m,G006,建地軌,0,級0 集中合併/級0′弱弱聯合,F.0級0'→達標·留置原位；E0級1殘餘併入 628-49(1)→628-48(1),✅
0m,G007,建地軌,0,級0 集中合併/級0′弱弱聯合,F.0全達標·無須併；F.0級0→達標·留置原位；F.3併入 628-20(3)→628-20(1)；F.3併入 628-30(4)·半R→628-30(3)；F.3併入 628-30(4)·半L→628-20(2)；F.3併入 628-45(3)→628-45(2)；F.3併入 628-45(4)→628-45(2)；F.3併入 628-45(5)·半L→628-20(2)；F.3併入 628-45(5)·半R→628-45(2)；E0級1殘餘併入 628-30(2)→628-45(2),✅
0m,G008,建地軌,1,級0 逐宗個別,F.3併入 628-4(2)→628-4(1),✅
0m,G009,建地軌,0,級0 集中合併/級0′弱弱聯合,F.0全達標·無須併；F.0級0'→轉F.2(同歸戶R4有達標宗·級1相鄰街廓)；F.2跨併級1 628(4)→628(1)；F.2跨併級1 628(3)→628(1)；F.2跨併級1 628-1(2)→628(1)；F.3併入 628(6)·半L→628(1)；F.3併入 628(6)·半R→628(5)；F.3併入 628-1(3)→628-1(1),✅
0m,G010,建地軌,0,級0 集中合併/級0′弱弱聯合,F.0級0→達標·留置原位；F.3併入 628-40(2)→628-40(1)；F.3併入 628-43(2)→628-40(1)；F.3併入 628-44(1)→628-40(1),✅
0m,G011,建地軌,2,級1-4 增配(雙出口),F.3併入 628-42(3)→628-42(2)；F.3併入 628-42(4)→628-42(2)；E0級1殘餘併入 628-42(1)→628-42(2),✅
