情境,街廓,池_D(㎡),池_E引擎(㎡),池_E3整形後(㎡),MinA,三則
3.5m,R1,888.69,226.42,226.42,115.39,≥MinA
3.5m,R2,1263.58,718.49,718.49,153.65,≥MinA
3.5m,R3,767.47,575.64,575.64,152.74,≥MinA
3.5m,R4,641.45,133.1,133.1,114.07,≥MinA
3.5m,R5,1678.02,376.31,376.31,157.64,≥MinA
3.5m,R6,447.04,247.09,247.09,156.06,≥MinA
