測項,違規列序,違規全文
v3·診斷0m,23,"[v3·診斷0m] ('R5', '左', '628-53(2)') 欄「範圍面積(㎡)」: baseline='146.93' got=225.24"
v3·診斷0m,24,"[v3·診斷0m] ('R5', '左', '628-53(2)') 欄「門檻(㎡)」: baseline='146.93' got=225.24"
v3·診斷0m,25,"[v3·診斷0m] ('R5', '左', '628-53(2)') 欄「項三比(≤1)」: baseline='0.019' got=0.0124"
v3·診斷0m,26,"[v3·診斷0m] ('R5', '左', '628-45(1)') 欄「真交集(㎡)」: baseline='13.73' got=20.97"
v3·診斷0m,27,"[v3·診斷0m] ('R5', '左', '628-45(1)') 欄「範圍面積(㎡)」: baseline='146.93' got=225.24"
v3·診斷0m,28,"[v3·診斷0m] ('R5', '左', '628-45(1)') 欄「門檻(㎡)」: baseline='146.93' got=225.24"
v3·診斷0m,29,"[v3·診斷0m] ('R2', '左', '628-41(1)') 欄「真交集(㎡)」: baseline='140.87' got=199.71"
v3·診斷0m,30,"[v3·診斷0m] ('R2', '左', '628-41(1)') 欄「範圍面積(㎡)」: baseline='151.44' got=225.69"
v3·診斷0m,31,"[v3·診斷0m] ('R2', '左', '628-41(1)') 欄「門檻(㎡)」: baseline='151.44' got=225.69"
v3·診斷0m,32,"[v3·診斷0m] ('R2', '左', '628-41(1)') 欄「項三比(≤1)」: baseline='0.9302' got=0.8849"
v3·診斷0m,33,"[v3·診斷0m] ('R2', '左', '628-41(1)') 欄「達標」: baseline='達標' got='未達標'"
v3·診斷0m,34,"[v3·診斷0m] ('R2', '左', '628-41(1)') 欄「正街角分(0.4)」: baseline='0.4' got='—'"
v3·診斷0m,35,"[v3·診斷0m] ('R2', '左', '628-41(1)') 欄「側街分(0.2)」: baseline='0.1588' got='—'"
v3·診斷0m,36,"[v3·診斷0m] ('R2', '左', '628-41(1)') 欄「跨占分(0.4)」: baseline='0.3721' got='—'"
v3·診斷0m,37,"[v3·診斷0m] ('R2', '左', '628-41(1)') 欄「總分」: baseline='0.9309' got='—'"
v3·診斷0m,38,"[v3·診斷0m] ('R2', '左', '628-41(1)') 欄「選中」: baseline='✅' got=''"
v3·診斷0m,39,"[v3·診斷0m] ('R2', '左', '628-42(1)') 欄「真交集(㎡)」: baseline='8.27' got=8.3"
v3·診斷0m,40,"[v3·診斷0m] ('R2', '左', '628-42(1)') 欄「範圍面積(㎡)」: baseline='151.44' got=225.69"
v3·診斷0m,41,"[v3·診斷0m] ('R2', '左', '628-42(1)') 欄「門檻(㎡)」: baseline='151.44' got=225.69"
v3·診斷0m,42,"[v3·診斷0m] ('R2', '左', '628-42(1)') 欄「項三比(≤1)」: baseline='0.0546' got=0.0368"
v3·診斷0m,43,"[v3·診斷0m] ('R2', '左', '628-27(1)') 欄「真交集(㎡)」: baseline='1.97' got=9.02"
v3·診斷0m,44,"[v3·診斷0m] ('R2', '左', '628-27(1)') 欄「範圍面積(㎡)」: baseline='151.44' got=225.69"
v3·診斷0m,45,"[v3·診斷0m] ('R2', '左', '628-27(1)') 欄「門檻(㎡)」: baseline='151.44' got=225.69"
v3·診斷0m,46,"[v3·診斷0m] ('R2', '左', '628-27(1)') 欄「項三比(≤1)」: baseline='0.013' got=0.04"
v3·診斷0m,47,"[v3·診斷0m] ('R3', '右', '628-45(2)') 欄「真交集(㎡)」: baseline='36.27' got=63.47"
v3·診斷0m,48,"[v3·診斷0m] ('R3', '右', '628-45(2)') 欄「範圍面積(㎡)」: baseline='152.82' got=226.91"
v3·診斷0m,49,"[v3·診斷0m] ('R3', '右', '628-45(2)') 欄「門檻(㎡)」: baseline='152.82' got=226.91"
v3·診斷0m,50,"[v3·診斷0m] ('R3', '右', '628-45(2)') 欄「項三比(≤1)」: baseline='0.2373' got=0.2797"
v3·診斷0m,51,"[v3·診斷0m] ('R3', '右', '628-45(2)') 欄「達標」: baseline='達標' got='未達標'"
v3·診斷0m,52,"[v3·診斷0m] ('R3', '右', '628-45(2)') 欄「截角邊(range)」: baseline='2.682' got=4.854"
v3·診斷0m,53,"[v3·診斷0m] ('R3', '右', '628-45(2)') 欄「臨截角」: baseline='2.682' got=4.854"
v3·診斷0m,54,"[v3·診斷0m] ('R3', '右', '628-45(2)') 欄「正街角分(0.4)」: baseline='0.4' got='—'"
v3·診斷0m,55,"[v3·診斷0m] ('R3', '右', '628-45(2)') 欄「側街分(0.2)」: baseline='0.0635' got='—'"
v3·診斷0m,56,"[v3·診斷0m] ('R3', '右', '628-45(2)') 欄「跨占分(0.4)」: baseline='0.0949' got='—'"
v3·診斷0m,57,"[v3·診斷0m] ('R3', '右', '628-45(2)') 欄「總分」: baseline='0.5585' got='—'"
v3·診斷0m,58,"[v3·診斷0m] ('R3', '右', '628-45(2)') 欄「選中」: baseline='✅' got=''"
v3·診斷0m,59,"[v3·診斷0m] ('R3', '右', '628-42(2)') 欄「真交集(㎡)」: baseline='102.31' got=129.29"
v3·診斷0m,60,"[v3·診斷0m] ('R3', '右', '628-42(2)') 欄「範圍面積(㎡)」: baseline='152.82' got=226.91"
v3·診斷0m,61,"[v3·診斷0m] ('R3', '右', '628-42(2)') 欄「門檻(㎡)」: baseline='152.82' got=226.91"
v3·診斷0m,62,"[v3·診斷0m] ('R3', '右', '628-42(2)') 欄「項三比(≤1)」: baseline='0.6695' got=0.5698"
v3·診斷0m,63,"[v3·診斷0m] ('R3', '右', '628-42(2)') 欄「截角邊(range)」: baseline='2.682' got=4.854"
v3·診斷0m,64,"[v3·診斷0m] ('R3', '右', '628-27(2)') 欄「真交集(㎡)」: baseline='11.96' got=20.32"
v3·診斷0m,65,"[v3·診斷0m] ('R3', '右', '628-27(2)') 欄「範圍面積(㎡)」: baseline='152.82' got=226.91"
