測項,違規列序,違規全文
v3·G值0m,39,"[v3·G值0m] ('R5', '628-18(2)') 欄「平均深度(m)」: baseline='45.04' got=45.71"
v3·G值0m,40,"[v3·G值0m] ('R5', '628-53(2)') 欄「平均深度(m)」: baseline='45.04' got=45.71"
v3·G值0m,41,"[v3·G值0m] ('R5', '628-45(1)') 欄「平均深度(m)」: baseline='45.04' got=45.71"
v3·G值0m,42,"[v3·G值0m] ('R5', '628-7(2)') 欄「平均深度(m)」: baseline='45.04' got=45.71"
v3·G值0m,43,"[v3·G值0m] ('R5', '628-20(2)') 欄「平均深度(m)」: baseline='45.04' got=45.71"
v3·G值0m,44,"[v3·G值0m] ('R5', '628-30(1)') 欄「平均深度(m)」: baseline='45.04' got=45.71"
v3·G值0m,45,"[v3·G值0m] ('R5', '628-21(2)') 欄「平均深度(m)」: baseline='45.04' got=45.71"
v3·G值0m,46,"[v3·G值0m] ('R5', '628(3)') 欄「平均深度(m)」: baseline='45.04' got=45.71"
v3·G值0m,47,"[v3·G值0m] ('R5', '628-23(2)') 欄「平均深度(m)」: baseline='45.04' got=45.71"
v3·G值0m,48,"[v3·G值0m] ('R5', '628-22(2)') 欄「平均深度(m)」: baseline='45.04' got=45.71"
v3·G值0m,49,"[v3·G值0m] ('R5', '628-32(1)') 欄「平均深度(m)」: baseline='45.04' got=45.71"
v3·G值0m,50,"[v3·G值0m] ('R5', '628-31(1)') 欄「平均深度(m)」: baseline='45.04' got=45.71"
v3·G值0m,51,"[v3·G值0m] ('R5', 'R5-抵費地') 欄「平均深度(m)」: baseline='45.04' got=45.71"
v3·G值0m,52,"[v3·G值0m] ('R3', '628(4)') 欄「平均深度(m)」: baseline='43.64' got=44.34"
v3·G值0m,53,"[v3·G值0m] ('R3', '628-34(2)') 欄「平均深度(m)」: baseline='43.64' got=44.34"
v3·G值0m,54,"[v3·G值0m] ('R3', '628-47(1)') 欄「平均深度(m)」: baseline='43.64' got=44.34"
v3·G值0m,55,"[v3·G值0m] ('R3', '628-46(1)') 欄「平均深度(m)」: baseline='43.64' got=44.34"
v3·G值0m,56,"[v3·G值0m] ('R3', '628-48(1)') 欄「平均深度(m)」: baseline='43.64' got=44.34"
v3·G值0m,57,"[v3·G值0m] ('R3', '628-49(2)') 欄「平均深度(m)」: baseline='43.64' got=44.34"
v3·G值0m,58,"[v3·G值0m] ('R3', '628-32(3)') 欄「平均深度(m)」: baseline='43.64' got=44.34"
v3·G值0m,59,"[v3·G值0m] ('R3', '628-45(2)') 欄「平均深度(m)」: baseline='43.64' got=44.34"
v3·G值0m,60,"[v3·G值0m] ('R3', '628-42(2)') 欄「平均深度(m)」: baseline='43.64' got=44.34"
v3·G值0m,61,"[v3·G值0m] ('R3', '628-27(2)') 欄「平均深度(m)」: baseline='43.64' got=44.34"
v3·G值0m,62,"[v3·G值0m] ('R3', '628-28(1)') 欄「平均深度(m)」: baseline='43.64' got=44.34"
v3·G值0m,63,"[v3·G值0m] ('R3', '628-29(1)') 欄「平均深度(m)」: baseline='43.64' got=44.34"
v3·G值0m,64,"[v3·G值0m] ('R3', '628-30(3)') 欄「平均深度(m)」: baseline='43.64' got=44.34"
v3·G值0m,65,"[v3·G值0m] ('R3', '628-31(3)') 欄「平均深度(m)」: baseline='43.64' got=44.34"
v3·G值0m,66,"[v3·G值0m] ('R3', 'R3-抵費地') 欄「平均深度(m)」: baseline='43.64' got=44.34"
v3·G值3.5m,0,"[v3·G值3.5m] ('R1', '628-36(1)') 欄「平均深度(m)」: baseline='32.97' got=33.15"
v3·G值3.5m,1,"[v3·G值3.5m] ('R1', '628(5)') 欄「平均深度(m)」: baseline='32.97' got=33.15"
v3·G值3.5m,2,"[v3·G值3.5m] ('R1', '628-34(3)') 欄「平均深度(m)」: baseline='32.97' got=33.15"
v3·G值3.5m,3,"[v3·G值3.5m] ('R1', '628-37(1)') 欄「平均深度(m)」: baseline='32.97' got=33.15"
v3·G值3.5m,4,"[v3·G值3.5m] ('R1', '628-35(2)') 欄「平均深度(m)」: baseline='32.97' got=33.15"
v3·G值3.5m,5,"[v3·G值3.5m] ('R1', 'R1-抵費地-1') 欄「平均深度(m)」: baseline='32.97' got=33.15"
v3·G值3.5m,6,"[v3·G值3.5m] ('R1', 'R1-抵費地-2') 欄「平均深度(m)」: baseline='32.97' got=33.15"
v3·G值3.5m,7,"[v3·G值3.5m] ('R2', '628-42(1)') 欄「平均深度(m)」: baseline='43.9' got=44.47"
v3·G值3.5m,8,"[v3·G值3.5m] ('R2', '628-41(1)') 欄「平均深度(m)」: baseline='43.9' got=44.47"
v3·G值3.5m,9,"[v3·G值3.5m] ('R2', '628-27(1)') 欄「平均深度(m)」: baseline='43.9' got=44.47"
v3·G值3.5m,10,"[v3·G值3.5m] ('R2', '628-40(1)') 欄「平均深度(m)」: baseline='43.9' got=44.47"
v3·G值3.5m,11,"[v3·G值3.5m] ('R2', '628-43(1)') 欄「平均深度(m)」: baseline='43.9' got=44.47"
v3·G值3.5m,12,"[v3·G值3.5m] ('R2', '628-30(2)') 欄「平均深度(m)」: baseline='43.9' got=44.47"
v3·G值3.5m,13,"[v3·G值3.5m] ('R2', '628-39(1)') 欄「平均深度(m)」: baseline='43.9' got=44.47"
v3·G值3.5m,14,"[v3·G值3.5m] ('R2', '628-31(2)') 欄「平均深度(m)」: baseline='43.9' got=44.47"
v3·G值3.5m,15,"[v3·G值3.5m] ('R2', '628-35(1)') 欄「平均深度(m)」: baseline='43.9' got=44.47"
v3·G值3.5m,16,"[v3·G值3.5m] ('R2', '628-34(1)') 欄「平均深度(m)」: baseline='43.9' got=44.47"
v3·G值3.5m,17,"[v3·G值3.5m] ('R2', '628-49(1)') 欄「平均深度(m)」: baseline='43.9' got=44.47"
v3·G值3.5m,18,"[v3·G值3.5m] ('R2', '628-50(1)') 欄「平均深度(m)」: baseline='43.9' got=44.47"
v3·G值3.5m,19,"[v3·G值3.5m] ('R2', '628-51(1)') 欄「平均深度(m)」: baseline='43.9' got=44.47"
v3·G值3.5m,20,"[v3·G值3.5m] ('R2', '628-52(1)') 欄「平均深度(m)」: baseline='43.9' got=44.47"
v3·G值3.5m,21,"[v3·G值3.5m] ('R2', '628-32(2)') 欄「平均深度(m)」: baseline='43.9' got=44.47"
v3·G值3.5m,22,"[v3·G值3.5m] ('R2', 'R2-抵費地-1') 欄「平均深度(m)」: baseline='43.9' got=44.47"
v3·G值3.5m,23,"[v3·G值3.5m] ('R2', 'R2-抵費地-2') 欄「平均深度(m)」: baseline='43.9' got=44.47"
v3·G值3.5m,24,"[v3·G值3.5m] ('R4', '628(1)') 欄「平均深度(m)」: baseline='32.59' got=33.1"
v3·G值3.5m,25,"[v3·G值3.5m] ('R4', '628-1(1)') 欄「平均深度(m)」: baseline='32.59' got=33.1"
v3·G值3.5m,26,"[v3·G值3.5m] ('R4', 'R4-抵費地') 欄「平均深度(m)」: baseline='32.59' got=33.1"
v3·G值3.5m,27,"[v3·G值3.5m] ('R6', '628(2)') 欄「平均深度(m)」: baseline='44.59' got=45.51"
v3·G值3.5m,28,"[v3·G值3.5m] ('R6', '628-1(2)') 欄「平均深度(m)」: baseline='44.59' got=45.51"
v3·G值3.5m,29,"[v3·G值3.5m] ('R6', '628-23(1)') 欄「平均深度(m)」: baseline='44.59' got=45.51"
v3·G值3.5m,30,"[v3·G值3.5m] ('R6', '628-4(1)') 欄「平均深度(m)」: baseline='44.59' got=45.51"
v3·G值3.5m,31,"[v3·G值3.5m] ('R6', '628-22(1)') 欄「平均深度(m)」: baseline='44.59' got=45.51"
v3·G值3.5m,32,"[v3·G值3.5m] ('R6', '628-21(1)') 欄「平均深度(m)」: baseline='44.59' got=45.51"
v3·G值3.5m,33,"[v3·G值3.5m] ('R6', '628-18(1)') 欄「平均深度(m)」: baseline='44.59' got=45.51"
v3·G值3.5m,34,"[v3·G值3.5m] ('R6', '628-53(1)') 欄「平均深度(m)」: baseline='44.59' got=45.51"
v3·G值3.5m,35,"[v3·G值3.5m] ('R6', '628-38(1)') 欄「平均深度(m)」: baseline='44.59' got=45.51"
v3·G值3.5m,36,"[v3·G值3.5m] ('R6', '628-7(1)') 欄「平均深度(m)」: baseline='44.59' got=45.51"
v3·G值3.5m,37,"[v3·G值3.5m] ('R6', '628-20(1)') 欄「平均深度(m)」: baseline='44.59' got=45.51"
v3·G值3.5m,38,"[v3·G值3.5m] ('R6', 'R6-抵費地-1') 欄「平均深度(m)」: baseline='44.59' got=45.51"
v3·G值3.5m,39,"[v3·G值3.5m] ('R6', 'R6-抵費地-2') 欄「平均深度(m)」: baseline='44.59' got=45.51"
v3·G值3.5m,40,"[v3·G值3.5m] ('R5', '628-53(2)') 欄「平均深度(m)」: baseline='45.04' got=45.71"
v3·G值3.5m,41,"[v3·G值3.5m] ('R5', '628-18(2)') 欄「平均深度(m)」: baseline='45.04' got=45.71"
v3·G值3.5m,42,"[v3·G值3.5m] ('R5', '628-45(1)') 欄「平均深度(m)」: baseline='45.04' got=45.71"
v3·G值3.5m,43,"[v3·G值3.5m] ('R5', '628-7(2)') 欄「平均深度(m)」: baseline='45.04' got=45.71"
v3·G值3.5m,44,"[v3·G值3.5m] ('R5', '628-20(2)') 欄「平均深度(m)」: baseline='45.04' got=45.71"
v3·G值3.5m,45,"[v3·G值3.5m] ('R5', '628-30(1)') 欄「平均深度(m)」: baseline='45.04' got=45.71"
v3·G值3.5m,46,"[v3·G值3.5m] ('R5', '628-21(2)') 欄「平均深度(m)」: baseline='45.04' got=45.71"
v3·G值3.5m,47,"[v3·G值3.5m] ('R5', '628(3)') 欄「平均深度(m)」: baseline='45.04' got=45.71"
v3·G值3.5m,48,"[v3·G值3.5m] ('R5', '628-23(2)') 欄「平均深度(m)」: baseline='45.04' got=45.71"
v3·G值3.5m,49,"[v3·G值3.5m] ('R5', '628-22(2)') 欄「平均深度(m)」: baseline='45.04' got=45.71"
v3·G值3.5m,50,"[v3·G值3.5m] ('R5', '628-32(1)') 欄「平均深度(m)」: baseline='45.04' got=45.71"
v3·G值3.5m,51,"[v3·G值3.5m] ('R5', '628-31(1)') 欄「平均深度(m)」: baseline='45.04' got=45.71"
v3·G值3.5m,52,"[v3·G值3.5m] ('R5', 'R5-抵費地-1') 欄「平均深度(m)」: baseline='45.04' got=45.71"
v3·G值3.5m,53,"[v3·G值3.5m] ('R5', 'R5-抵費地-2') 欄「平均深度(m)」: baseline='45.04' got=45.71"
v3·G值3.5m,54,"[v3·G值3.5m] ('R3', '628(4)') 欄「平均深度(m)」: baseline='43.64' got=44.34"
v3·G值3.5m,55,"[v3·G值3.5m] ('R3', '628-34(2)') 欄「平均深度(m)」: baseline='43.64' got=44.34"
v3·G值3.5m,56,"[v3·G值3.5m] ('R3', '628-47(1)') 欄「平均深度(m)」: baseline='43.64' got=44.34"
v3·G值3.5m,57,"[v3·G值3.5m] ('R3', '628-46(1)') 欄「平均深度(m)」: baseline='43.64' got=44.34"
v3·G值3.5m,58,"[v3·G值3.5m] ('R3', '628-48(1)') 欄「平均深度(m)」: baseline='43.64' got=44.34"
v3·G值3.5m,59,"[v3·G值3.5m] ('R3', '628-49(2)') 欄「平均深度(m)」: baseline='43.64' got=44.34"
v3·G值3.5m,60,"[v3·G值3.5m] ('R3', '628-32(3)') 欄「平均深度(m)」: baseline='43.64' got=44.34"
v3·G值3.5m,61,"[v3·G值3.5m] ('R3', '628-42(2)') 欄「平均深度(m)」: baseline='43.64' got=44.34"
v3·G值3.5m,62,"[v3·G值3.5m] ('R3', '628-27(2)') 欄「平均深度(m)」: baseline='43.64' got=44.34"
v3·G值3.5m,63,"[v3·G值3.5m] ('R3', '628-28(1)') 欄「平均深度(m)」: baseline='43.64' got=44.34"
v3·G值3.5m,64,"[v3·G值3.5m] ('R3', '628-45(2)') 欄「平均深度(m)」: baseline='43.64' got=44.34"
v3·G值3.5m,65,"[v3·G值3.5m] ('R3', '628-29(1)') 欄「平均深度(m)」: baseline='43.64' got=44.34"
v3·G值3.5m,66,"[v3·G值3.5m] ('R3', '628-30(3)') 欄「平均深度(m)」: baseline='43.64' got=44.34"
v3·G值3.5m,67,"[v3·G值3.5m] ('R3', '628-31(3)') 欄「平均深度(m)」: baseline='43.64' got=44.34"
v3·G值3.5m,68,"[v3·G值3.5m] ('R3', 'R3-抵費地-1') 欄「平均深度(m)」: baseline='43.64' got=44.34"
v3·G值3.5m,69,"[v3·G值3.5m] ('R3', 'R3-抵費地-2') 欄「平均深度(m)」: baseline='43.64' got=44.34"
碎片幾何,0,"[碎片幾何] ('0m', 'R1-抵費地-1') 欄「參考_depth×mw」: baseline='115.39' got=116.02"
碎片幾何,1,"[碎片幾何] ('0m', 'R1-抵費地-2') 欄「參考_depth×mw」: baseline='115.39' got=116.02"
碎片幾何,2,"[碎片幾何] ('0m', 'R2-抵費地') 欄「參考_depth×mw」: baseline='153.65' got=155.64"
碎片幾何,3,"[碎片幾何] ('0m', 'R4-抵費地') 欄「參考_depth×mw」: baseline='114.07' got=115.85"
碎片幾何,4,"[碎片幾何] ('0m', 'R6-抵費地-1') 欄「參考_depth×mw」: baseline='156.06' got=159.28"
碎片幾何,5,"[碎片幾何] ('0m', 'R6-抵費地-2') 欄「參考_depth×mw」: baseline='156.06' got=159.28"
碎片幾何,6,"[碎片幾何] ('0m', 'R5-抵費地') 欄「參考_depth×mw」: baseline='157.64' got=159.99"
碎片幾何,7,"[碎片幾何] ('0m', 'R3-抵費地') 欄「參考_depth×mw」: baseline='152.74' got=155.19"
碎片幾何,8,"[碎片幾何] ('3.5m', 'R1-抵費地-1') 欄「參考_depth×mw」: baseline='115.39' got=116.02"
碎片幾何,9,"[碎片幾何] ('3.5m', 'R1-抵費地-2') 欄「參考_depth×mw」: baseline='115.39' got=116.02"
碎片幾何,10,"[碎片幾何] ('3.5m', 'R2-抵費地-1') 欄「參考_depth×mw」: baseline='153.65' got=155.64"
碎片幾何,11,"[碎片幾何] ('3.5m', 'R2-抵費地-2') 欄「參考_depth×mw」: baseline='153.65' got=155.64"
碎片幾何,12,"[碎片幾何] ('3.5m', 'R4-抵費地') 欄「參考_depth×mw」: baseline='114.07' got=115.85"
碎片幾何,13,"[碎片幾何] ('3.5m', 'R6-抵費地-1') 欄「參考_depth×mw」: baseline='156.06' got=159.28"
碎片幾何,14,"[碎片幾何] ('3.5m', 'R6-抵費地-2') 欄「參考_depth×mw」: baseline='156.06' got=159.28"
碎片幾何,15,"[碎片幾何] ('3.5m', 'R5-抵費地-1') 欄「參考_depth×mw」: baseline='157.64' got=159.99"
碎片幾何,16,"[碎片幾何] ('3.5m', 'R5-抵費地-2') 欄「參考_depth×mw」: baseline='157.64' got=159.99"
碎片幾何,17,"[碎片幾何] ('3.5m', 'R3-抵費地-1') 欄「參考_depth×mw」: baseline='152.74' got=155.19"
碎片幾何,18,"[碎片幾何] ('3.5m', 'R3-抵費地-2') 欄「參考_depth×mw」: baseline='152.74' got=155.19"
W-D.4清單0m,0,"[W-D.4清單0m] ('0m', 'G003') 欄「路徑標註」: baseline='公設軌·達標門檻＝區標準 114.07(手冊(三))；½線測試延至 F.4 以 G(a′) 施作' got='公設軌·達標門檻＝區標準 115.85(手冊(三))；½線測試延至 F.4 以 G(a′) 施作'"
W-D.4清單0m,1,"[W-D.4清單0m] ('0m', 'G004') 欄「增配a′(㎡)」: baseline='42.47' got=44.25"
W-D.4清單0m,2,"[W-D.4清單0m] ('0m', 'G004') 欄「差額地價(元)§52-1」: baseline='3238167' got=3373884"
W-D.4清單0m,3,"[W-D.4清單0m] ('0m', 'G011') 欄「增配a′(㎡)」: baseline='24.3' got=26.08"
W-D.4清單0m,4,"[W-D.4清單0m] ('0m', 'G011') 欄「差額地價(元)§52-1」: baseline='1852777' got=1988495"
W-D.4清單0m,5,"[W-D.4清單0m] ('0m', 'G012') 欄「路徑標註」: baseline='公設軌·達標門檻＝區標準 114.07(手冊(三))；½線測試延至 F.4 以 G(a′) 施作' got='公設軌·達標門檻＝區標準 115.85(手冊(三))；½線測試延至 F.4 以 G(a′) 施作'"
W-D.4清單0m,6,"[W-D.4清單0m] ('0m', 'G013') 欄「路徑標註」: baseline='公設軌·達標門檻＝區標準 114.07(手冊(三))；½線測試延至 F.4 以 G(a′) 施作' got='公設軌·達標門檻＝區標準 115.85(手冊(三))；½線測試延至 F.4 以 G(a′) 施作'"
W-D.4清單0m,7,"[W-D.4清單0m] ('0m', 'G015') 欄「路徑標註」: baseline='公設軌·達標門檻＝區標準 114.07(手冊(三))；½線測試延至 F.4 以 G(a′) 施作' got='公設軌·達標門檻＝區標準 115.85(手冊(三))；½線測試延至 F.4 以 G(a′) 施作'"
W-D.4清單0m,8,"[W-D.4清單0m] ('0m', 'G016') 欄「路徑標註」: baseline='公設軌·達標門檻＝區標準 114.07(手冊(三))；½線測試延至 F.4 以 G(a′) 施作' got='公設軌·達標門檻＝區標準 115.85(手冊(三))；½線測試延至 F.4 以 G(a′) 施作'"
W-D.4清單0m,9,"[W-D.4清單0m] ('0m', 'G024') 欄「路徑標註」: baseline='公設軌·達標門檻＝區標準 114.07(手冊(三))；½線測試延至 F.4 以 G(a′) 施作' got='公設軌·達標門檻＝區標準 115.85(手冊(三))；½線測試延至 F.4 以 G(a′) 施作'"
W-D.4清單0m,10,"[W-D.4清單0m] ('0m', 'G028') 欄「路徑標註」: baseline='公設軌·達標門檻＝區標準 114.07(手冊(三))；½線測試延至 F.4 以 G(a′) 施作' got='公設軌·達標門檻＝區標準 115.85(手冊(三))；½線測試延至 F.4 以 G(a′) 施作'"
W-D.4清單0m,11,"[W-D.4清單0m] ('0m', 'G031') 欄「路徑標註」: baseline='公設軌·達標門檻＝區標準 114.07(手冊(三))；½線測試延至 F.4 以 G(a′) 施作' got='公設軌·達標門檻＝區標準 115.85(手冊(三))；½線測試延至 F.4 以 G(a′) 施作'"
W-D.4清單0m,12,"[W-D.4清單0m] ('0m', 'G033') 欄「增配a′(㎡)」: baseline='41.3' got=43.08"
W-D.4清單0m,13,"[W-D.4清單0m] ('0m', 'G033') 欄「差額地價(元)§52-1」: baseline='3148959' got=3284677"
W-D.4跨占0m,0,"[W-D.4跨占0m] ('0m', '628-35(1)') 欄「該側MinA(㎡)」: baseline='153.65' got=155.64"
W-D.4跨占0m,1,"[W-D.4跨占0m] ('0m', '628(2)') 欄「該側MinA(㎡)」: baseline='156.06' got=159.28"
W-D.4跨占0m,2,"[W-D.4跨占0m] ('0m', '628(3)') 欄「該側MinA(㎡)」: baseline='157.64' got=159.99"
W-D.4跨占0m,3,"[W-D.4跨占0m] ('0m', '628(4)') 欄「該側MinA(㎡)」: baseline='152.74' got=155.19"
W-D.4跨占0m,4,"[W-D.4跨占0m] ('0m', '628-34(3)') 欄「該側MinA(㎡)」: baseline='115.39' got=116.02"
W-D.4跨占0m,5,"[W-D.4跨占0m] ('0m', '628-42(1)') 欄「該側MinA(㎡)」: baseline='153.65' got=155.64"
W-D.4跨占0m,6,"[W-D.4跨占0m] ('0m', '628-42(2)') 欄「該側MinA(㎡)」: baseline='152.74' got=155.19"
W-D.4跨占0m,7,"[W-D.4跨占0m] ('0m', '628-27(1)') 欄「該側MinA(㎡)」: baseline='153.65' got=155.64"
W-D.4跨占0m,8,"[W-D.4跨占0m] ('0m', '628-27(2)') 欄「該側MinA(㎡)」: baseline='152.74' got=155.19"
W-D.4跨占0m,9,"[W-D.4跨占0m] ('0m', '628-30(2)') 欄「該側MinA(㎡)」: baseline='153.65' got=155.64"
W-D.4跨占0m,10,"[W-D.4跨占0m] ('0m', '628-30(1)') 欄「該側MinA(㎡)」: baseline='157.64' got=159.99"
W-D.4跨占0m,11,"[W-D.4跨占0m] ('0m', '628-31(1)') 欄「該側MinA(㎡)」: baseline='157.64' got=159.99"
W-D.4跨占0m,12,"[W-D.4跨占0m] ('0m', '628-49(1)') 欄「該側MinA(㎡)」: baseline='153.65' got=155.64"
W-D.4跨占0m,13,"[W-D.4跨占0m] ('0m', '628-49(2)') 欄「該側MinA(㎡)」: baseline='152.74' got=155.19"
W-D.4跨占0m,14,"[W-D.4跨占0m] ('0m', '628-32(1)') 欄「該側MinA(㎡)」: baseline='157.64' got=159.99"
W-D.4跨占0m,15,"[W-D.4跨占0m] ('0m', '628-1(2)') 欄「該側MinA(㎡)」: baseline='156.06' got=159.28"
W-D.4跨占0m,16,"[W-D.4跨占0m] ('0m', '628-23(1)') 欄「該側MinA(㎡)」: baseline='156.06' got=159.28"
W-D.4跨占0m,17,"[W-D.4跨占0m] ('0m', '628-22(1)') 欄「該側MinA(㎡)」: baseline='156.06' got=159.28"
W-D.4跨占0m,18,"[W-D.4跨占0m] ('0m', '628-53(1)') 欄「該側MinA(㎡)」: baseline='156.06' got=159.28"
W-D.4跨占0m,19,"[W-D.4跨占0m] ('0m', '628-53(2)') 欄「該側MinA(㎡)」: baseline='157.64' got=159.99"
W-D.4跨占0m,20,"[W-D.4跨占0m] ('0m', '628-45(1)') 欄「該側MinA(㎡)」: baseline='157.64' got=159.99"
W-D.4清單3.5m,0,"[W-D.4清單3.5m] ('3.5m', 'G003') 欄「路徑標註」: baseline='公設軌·達標門檻＝區標準 114.07(手冊(三))；½線測試延至 F.4 以 G(a′) 施作' got='公設軌·達標門檻＝區標準 115.85(手冊(三))；½線測試延至 F.4 以 G(a′) 施作'"
