街廓,演算法,候選來源,候選數,【左】最小面積(㎡),【右】最小面積(㎡),【左】達資格候選,【左】第1宗指配,【左】優先權指數,【右】達資格候選,【右】第1宗指配,【右】優先權指數
R4,V13,🤖 自動 PK,2,226.01,225.42,1,G009（628）[628(1)],0.9916,1,G009（628-1）[628-1(1)],0.9925
R6,V13,🤖 自動 PK,8,無此側,299.13,—,無此側,—,1,G005（628-18）[628-18(1)],0.1311
R5,V13,🤖 自動 PK,8,299.73,無此側,1,G007（628-45）[628-45(1)+],0.4306,—,無此側,—
R2,V13,🤖 自動 PK,14,308.17,無此側,0,⚠️ 強制抵費地,—,—,無此側,—
R3,V13,🤖 自動 PK,10,無此側,307.79,—,無此側,—,1,G007（628-30）[628-30(3)+],0.6095
R1,V13,🤖 自動 PK,5,226.01,227.13,2,G029（628-36）[628-36(1)],0.2377,1,G009（628）[628(5)],0.9915
