情境,街廓,暫編地號,街角地,第1筆街角,街角側別,min_t,max_t,凸性Δ(㎡),寬度(m),臨街邊長(m),E-6差(m),判定
0m,R3,628-47(1),否,否,—,8.125e-08,43.8469,0.000000,3.2718,3.2718,3.666e-09,臨街(法定粒度內)
0m,R3,628-46(1),否,否,—,1.208e-07,43.8669,0.000000,1.6592,1.6592,1.816e-09,臨街(法定粒度內)
0m,R3,628-48(1),否,否,—,1.408e-07,43.9062,0.000000,3.2673,3.2673,3.667e-09,臨街(法定粒度內)
0m,R3,628-49(2),否,否,—,1.802e-07,43.9279,0.000000,1.8000,1.8000,1.996e-09,臨街(法定粒度內)
0m,R3,628-32(3),否,否,—,2.018e-07,44.0433,0.000000,9.5807,9.5807,1.065e-08,臨街(法定粒度內)
0m,R3,628-42(2),否,否,—,1.062e-06,44.8092,0.000000,1.8311,1.8311,2.042e-09,臨街(法定粒度內)
0m,R3,628-27(2),否,否,—,1.054e-06,44.7863,0.000000,0.5807,0.5807,6.455e-10,臨街(法定粒度內)
0m,R3,628-28(1),否,否,—,1.038e-06,44.7793,0.000000,1.4205,1.4205,1.426e-09,臨街(法定粒度內)
0m,R3,628-45(2),否,否,—,9.825e-07,44.7622,0.000000,4.5531,4.5531,5.068e-09,臨街(法定粒度內)
0m,R3,628-29(1),否,否,—,9.650e-07,44.7073,0.000000,1.4427,1.4427,1.515e-09,臨街(法定粒度內)
0m,R3,628-30(3),否,否,—,8.425e-07,44.6899,0.000000,10.1620,10.1620,1.136e-08,臨街(法定粒度內)
0m,R3,628-31(3),否,否,—,7.393e-07,44.5676,0.000000,8.5541,8.5541,9.569e-09,臨街(法定粒度內)
