街廓,n,k_naive,k*,J(naive),J(k*),ΣRw_L理論@k*(%),ΣRw_R理論@k*(%),ΣRw_L實跑(%),ΣRw_R實跑(%),ΣG(㎡),Σ配地幾何(㎡),池總=幾何剩餘(㎡),角落抵費地L(㎡),角落抵費地R(㎡),中央池(㎡),守恆殘差(㎡),判定,note,幾何片明細(㎡),片數
R1,5,3,2,60.3553,66.517,100.0,100.0,99.98,100.01,1718.06,1718.07,1175.47,0.0,0.0,1175.47,-0.03,✅,,"[1170.17, 5.3]",2
R2,15,8,8,44.9548,44.9548,100.0,0.0,99.96,0,2569.23,2569.21,1799.53,0.0,0.0,1799.53,0.15,✅,,[1799.53],1
R3,14,7,7,44.8987,44.8987,0.0,100.0,0,100.0,2414.61,2414.58,1792.03,0.0,0.0,1792.03,-0.16,✅,,"[1713.84, 78.19]",2
R4,2,1,1,63.2301,63.2301,100.0,90.56,100.0,90.57,1977.98,1977.97,1229.83,0.0,0.0,1229.83,-0.06,✅,,[1229.83],1
R5,12,6,7,43.5305,43.5305,100.0,0.0,100.0,0,2384.1,2384.09,1765.61,0.0,0.0,1765.61,-0.5,✅,,[1765.61],1
R6,11,6,6,43.3815,43.3815,0.0,100.0,0,99.99,2341.48,2341.54,1634.06,0.0,0.0,1634.06,-0.77,✅,,"[1548.4, 85.66]",2
