情境,歸戶鍵Gxxx,軌別,宗數,宗清單,公設宗數,公設面積(㎡),ΣG_戶(㎡),含旗標宗數,梯次,對應v3級,阻卻,路徑標註,持分和檢核,增配a′(㎡),差額地價(元)§52-1,放棄改領(元)§53-2,補償_本文式(元)§53-1,補償_但書式(元),估算性質,備註
0m,G001,建地軌,3,628-34(3);628-34(1);628-34(2),2,144.75,768.94,1,0,級0 集中合併/級0′弱弱聯合,否,級0 集中合併/級0′弱弱聯合,✅,,,,,,半實算(試分配·非正式),
0m,G002,建地軌,1,628-39(1),1,93.66,232.93,0,1,級0 逐宗個別,否,級0 逐宗個別,✅,,,,,,半實算(試分配·非正式),
0m,G003,公設軌,0,,11,1875.44,0,0,—,公設地歸戶·待 F.3/F.4 調配,否,公設軌·達標門檻＝區標準 114.07(手冊(三))；½線測試延至 F.4 以 G(a′) 施作,✅,,,,,,待 F.4·G(a′) 未算前禁取補償值（停機條款）,
0m,G004,建地軌,1,628-52(1),1,126.12,71.6,1,2,級1-4 增配(雙出口),否,級1-4 增配(雙出口),✅,42.47,3238167,4913291,,,半實算(試分配·非正式),
0m,G005,建地軌,2,628-18(1);628-18(2),1,97.46,494.84,0,1,級0 逐宗個別,否,級0 逐宗個別,✅,,,,,,半實算(試分配·非正式),
0m,G006,建地軌,4,628-49(1);628-49(2);628-47(1);628-48(1),0,0.0,431.29,4,0,級0 集中合併/級0′弱弱聯合,否,級0 集中合併/級0′弱弱聯合,✅,,,,,,半實算(試分配·非正式),
0m,G007,建地軌,7,628-20(1);628-20(2);628-45(1);628-45(2);628-30(2);628-30(1);628-30(3),5,846.24,1430.15,3,0,級0 集中合併/級0′弱弱聯合,否,級0 集中合併/級0′弱弱聯合,✅,,,,,,半實算(試分配·非正式),
0m,G008,建地軌,1,628-4(1),1,141.01,692.05,0,1,級0 逐宗個別,否,級0 逐宗個別,✅,,,,,,半實算(試分配·非正式),
0m,G009,建地軌,7,628-1(1);628-1(2);628(5);628(1);628(2);628(3);628(4),2,535.83,2548.23,4,0,級0 集中合併/級0′弱弱聯合,否,級0 集中合併/級0′弱弱聯合,✅,,,,,,半實算(試分配·非正式),
0m,G010,建地軌,2,628-40(1);628-43(1),3,114.38,295.26,1,0,級0 集中合併/級0′弱弱聯合,否,級0 集中合併/級0′弱弱聯合,✅,,,,,,半實算(試分配·非正式),
0m,G011,建地軌,2,628-42(1);628-42(2),2,605.37,89.82,2,2,級1-4 增配(雙出口),否,級1-4 增配(雙出口),✅,24.25,1848965,6505993,,,半實算(試分配·非正式),
0m,G012,公設軌,0,,2,262.55,0,0,—,公設地歸戶·待 F.3/F.4 調配,否,公設軌·達標門檻＝區標準 114.07(手冊(三))；½線測試延至 F.4 以 G(a′) 施作,✅,,,,,,待 F.4·G(a′) 未算前禁取補償值（停機條款）,
0m,G013,公設軌,0,,1,35.89,0,0,—,公設地歸戶·待 F.3/F.4 調配,否,公設軌·達標門檻＝區標準 114.07(手冊(三))；½線測試延至 F.4 以 G(a′) 施作,✅,,,,,,待 F.4·G(a′) 未算前禁取補償值（停機條款）,
0m,G014,建地軌,2,628-28(1);628-29(1),0,0.0,127.26,2,0,級0 集中合併/級0′弱弱聯合,否,級0 集中合併/級0′弱弱聯合,✅,,,,,,半實算(試分配·非正式),
