情境,所屬街廓,推進側別,暫編地號,ghost,分類,欄,live,harness,absdiff
3.5m,R3,left,628-47(1),否,②area_geom,幾何面積(㎡),143.39,147.76,4.37
3.5m,R3,left,628-48(1),否,⑤其他,宗地寬度(m),3.26,3.36,0.1
3.5m,R3,left,628-48(1),否,⑤其他,G(㎡),143.4,147.76,4.36
3.5m,R3,left,628-48(1),否,①迭代/收斂,迭代次數,17,16,1
3.5m,R3,left,628-48(1),否,⑤其他,累積S(m),14.95,15.39,0.44
3.5m,R3,left,628-48(1),否,⑤其他,A 地價比,1.9407,1.8218,0.1189
3.5m,R3,left,628-48(1),否,⑤其他,負擔比率,0.4171,0.3993,0.0178
3.5m,R3,left,628-48(1),否,⑤其他,S(m),3.27,3.37,0.1
3.5m,R3,left,628-48(1),否,②area_geom,幾何面積(㎡),143.39,147.75,4.36
3.5m,R2,right,628-49(1),否,⑤其他,宗地寬度(m),1.48,1.45,0.03
3.5m,R2,right,628-49(1),否,⑤其他,G(㎡),65.45,64.07,1.38
3.5m,R2,right,628-49(1),否,⑤其他,累積S(m),12.62,12.36,0.26
3.5m,R2,right,628-49(1),否,⑤其他,A 地價比,1.8386,1.923,0.0844
3.5m,R2,right,628-49(1),否,⑤其他,負擔比率,0.4017,0.4143,0.0126
3.5m,R2,right,628-49(1),否,⑤其他,S(m),1.48,1.45,0.03
3.5m,R2,right,628-49(1),否,②area_geom,幾何面積(㎡),65.45,64.06,1.39
3.5m,R3,left,628-49(2),否,⑤其他,宗地寬度(m),1.79,1.84,0.05
3.5m,R3,left,628-49(2),否,⑤其他,G(㎡),79.05,81.46,2.41
3.5m,R3,left,628-49(2),否,①迭代/收斂,迭代次數,18,17,1
3.5m,R3,left,628-49(2),否,⑤其他,累積S(m),16.75,17.24,0.49
3.5m,R3,left,628-49(2),否,⑤其他,A 地價比,1.9407,1.8218,0.1189
3.5m,R3,left,628-49(2),否,⑤其他,負擔比率,0.4171,0.3993,0.0178
3.5m,R3,left,628-49(2),否,⑤其他,S(m),1.8,1.85,0.05
3.5m,R3,left,628-49(2),否,②area_geom,幾何面積(㎡),79.05,81.46,2.41
3.5m,R2,right,628-50(1),否,⑤其他,宗地寬度(m),3.32,3.25,0.07
3.5m,R2,right,628-50(1),否,⑤其他,G(㎡),147.18,144.08,3.1
3.5m,R2,right,628-50(1),否,①迭代/收斂,迭代次數,16,14,2
3.5m,R2,right,628-50(1),否,⑤其他,累積S(m),15.95,15.62,0.33
3.5m,R2,right,628-50(1),否,⑤其他,A 地價比,1.8386,1.923,0.0844
3.5m,R2,right,628-50(1),否,⑤其他,負擔比率,0.4017,0.4143,0.0126
3.5m,R2,right,628-50(1),否,⑤其他,S(m),3.33,3.26,0.07
3.5m,R2,right,628-50(1),否,②area_geom,幾何面積(㎡),147.17,144.08,3.09
3.5m,R2,right,628-51(1),否,⑤其他,宗地寬度(m),3.31,3.24,0.07
3.5m,R2,right,628-51(1),否,⑤其他,G(㎡),146.59,143.5,3.09
3.5m,R2,right,628-51(1),否,①迭代/收斂,迭代次數,16,15,1
3.5m,R2,right,628-51(1),否,⑤其他,累積S(m),19.27,18.87,0.4
3.5m,R2,right,628-51(1),否,⑤其他,A 地價比,1.8386,1.923,0.0844
3.5m,R2,right,628-51(1),否,⑤其他,負擔比率,0.4017,0.4143,0.0126
3.5m,R2,right,628-51(1),否,⑤其他,S(m),3.32,3.25,0.07
3.5m,R2,right,628-51(1),否,②area_geom,幾何面積(㎡),146.59,143.5,3.09
3.5m,R2,right,628-52(1),否,⑤其他,宗地寬度(m),1.62,1.59,0.03
3.5m,R2,right,628-52(1),否,⑤其他,G(㎡),71.6,70.09,1.51
3.5m,R2,right,628-52(1),否,⑤其他,累積S(m),20.89,20.46,0.43
3.5m,R2,right,628-52(1),否,⑤其他,A 地價比,1.8386,1.923,0.0844
3.5m,R2,right,628-52(1),否,⑤其他,負擔比率,0.4016,0.4143,0.0127
3.5m,R2,right,628-52(1),否,⑤其他,S(m),1.62,1.59,0.03
3.5m,R2,right,628-52(1),否,②area_geom,幾何面積(㎡),71.6,70.08,1.52
3.5m,R6,right,628-53(1),否,⑤其他,W(m),10.4,10.07,0.33
3.5m,R6,right,628-53(1),否,①迭代/收斂,迭代次數,17,16,1
3.5m,R6,right,628-53(1),否,⑤其他,累積S(m),10.44,10.1,0.34
3.5m,R6,right,628-53(1),否,⑤其他,A 地價比,1.8386,2.0243,0.1857
3.5m,R6,right,628-53(1),否,⑤其他,負擔比率,0.4318,0.4545,0.0227
3.5m,R5,left,628-53(2),否,⑤其他,G(㎡),1.54,1.59,0.05
3.5m,R5,left,628-53(2),否,①迭代/收斂,迭代次數,16,18,2
3.5m,R5,left,628-53(2),否,⑤其他,A 地價比,1.9407,1.8218,0.1189
3.5m,R5,left,628-53(2),否,⑤其他,負擔比率,0.446,0.4281,0.0179
3.5m,R5,left,628-53(2),否,②area_geom,幾何面積(㎡),1.55,1.59,0.04
3.5m,R6,right,628-7(1),否,⑤其他,宗地寬度(m),6.97,6.63,0.34
3.5m,R6,right,628-7(1),否,⑤其他,W(m),20.08,19.28,0.8
3.5m,R6,right,628-7(1),否,⑤其他,G(㎡),306.92,291.73,15.19
3.5m,R6,right,628-7(1),否,①迭代/收斂,迭代次數,11,17,6
3.5m,R6,right,628-7(1),否,⑤其他,Rw(%),15.58,17.4,1.82
3.5m,R6,right,628-7(1),否,⑤其他,累積S(m),20.15,19.34,0.81
3.5m,R6,right,628-7(1),否,⑤其他,A 地價比,1.8386,2.0243,0.1857
3.5m,R6,right,628-7(1),否,⑤其他,負擔比率,0.4131,0.4422,0.0291
3.5m,R6,right,628-7(1),否,⑤其他,S(m),6.99,6.65,0.34
3.5m,R6,right,628-7(1),否,②area_geom,幾何面積(㎡),306.93,291.74,15.19
3.5m,R5,left,628-7(2),否,⑤其他,宗地寬度(m),5.6,5.79,0.19
3.5m,R5,left,628-7(2),否,⑤其他,W(m),18.3,18.67,0.37
3.5m,R5,left,628-7(2),否,⑤其他,G(㎡),248.07,256.11,8.04
3.5m,R5,left,628-7(2),否,①迭代/收斂,迭代次數,17,14,3
3.5m,R5,left,628-7(2),否,⑤其他,Rw(%),17.2,16.44,0.76
3.5m,R5,left,628-7(2),否,⑤其他,累積S(m),18.38,18.75,0.37
3.5m,R5,left,628-7(2),否,⑤其他,A 地價比,1.9407,1.8218,0.1189
3.5m,R5,left,628-7(2),否,⑤其他,負擔比率,0.4319,0.4135,0.0184
3.5m,R5,left,628-7(2),否,⑤其他,S(m),5.62,5.81,0.19
3.5m,R5,left,628-7(2),否,②area_geom,幾何面積(㎡),248.06,256.1,8.04
3.5m,R1,抵費地,R1-抵費地-1,否,②area_geom,幾何面積(㎡),1170.35,1162.39,7.96
3.5m,R2,抵費地,R2-抵費地-1,否,②area_geom,幾何面積(㎡),1540.37,1595.18,54.81
3.5m,R3,抵費地,R3-抵費地-1,否,②area_geom,幾何面積(㎡),1380.09,1306.1,73.99
3.5m,R4,抵費地,R4-抵費地,否,②area_geom,幾何面積(㎡),1229.83,1222.05,7.78
3.5m,R5,抵費地,R5-抵費地-1,否,②area_geom,幾何面積(㎡),1529.39,1457.15,72.24
3.5m,R6,抵費地,R6-抵費地-1,否,②area_geom,幾何面積(㎡),1548.4,1657.92,109.52
