街廓,n,k_naive,k*,J(naive),J(k*),ΣRw_L理論@k*(%),ΣRw_R理論@k*(%),ΣRw_L實跑(%),ΣRw_R實跑(%),ΣG(㎡),Σ配地幾何(㎡),池總=幾何剩餘(㎡),角落抵費地L(㎡),角落抵費地R(㎡),中央池(㎡),守恆殘差(㎡),判定,note,幾何片明細(㎡),片數
R1,5,3,2,60.4751,66.517,100.0,100.0,100.01,100.0,1734.49,1734.5,1159.09,0.0,0.0,1159.09,0.02,✅,,"[1153.79, 5.3]",2
R2,15,8,8,19.8608,19.8608,44.18,0.0,44.13,0,2552.7,2552.7,1815.78,309.05,0.0,1506.73,-0.13,✅,,"[1582.03, 233.74]",2
R3,14,7,7,19.7717,19.7717,0.0,44.04,0,44.06,2523.31,2523.34,1683.49,0.0,308.93,1374.56,0.0,✅,,"[1293.69, 389.8]",2
R4,2,1,1,63.3575,63.3575,100.0,90.95,100.0,90.98,1994.83,1994.84,1212.96,0.0,0.0,1212.96,-0.08,✅,,[1212.96],1
R5,12,6,7,20.1678,20.1678,46.33,0.0,46.37,0,2492.74,2492.75,1656.56,300.52,0.0,1356.04,-0.91,✅,,"[1443.77, 212.79]",2
R6,11,6,6,43.3815,43.3815,0.0,100.0,0,99.96,2245.21,2245.19,1731.05,0.0,0.0,1731.05,-0.04,✅,,"[1645.39, 85.66]",2
