情境,街廓,暫編地號,角色,G_B(㎡),新形面積(㎡),S_B(m),S_new(m),宗地寬度_new(m),實測寬⊥A(m),Δ面積(㎡)
3.5m,R1,628-36(1),標的(吞楔形),580.67,580.67,17.71,17.55,17.49,34.38,-0.0
3.5m,R1,628-35(2),前移,620.46,620.46,18.72,18.72,18.65,,0.003
3.5m,R1,628(5),右側·未動,225.4,225.4,9.86,9.86,9.83,,
3.5m,R1,628-34(3),右側·未動,87.52,87.52,2.64,2.64,2.63,,
3.5m,R1,628-37(1),右側·未動,220.44,220.44,6.65,6.65,6.63,,
