情境,街廓,暫編地號,角色,G_B(㎡),新形面積(㎡),S_B(m),S_new(m),宗地寬度_new(m),實測寬⊥A(m),Δ面積(㎡)
0m,R1,628-37(1),標的(吞楔形),209.95,209.95,6.53,6.37,6.35,33.49,0.001
0m,R1,628-35(2),前移,606.51,606.51,18.29,18.29,18.23,,0.003
0m,R1,628(5),右側·未動,225.4,225.39,9.86,9.86,9.83,,
0m,R1,628-34(3),右側·未動,87.52,87.51,2.64,2.64,2.63,,
0m,R1,628-36(1),右側·未動,605.12,605.13,18.26,18.26,18.2,,
